Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital_name,Coalition
4,36,181,115,134,40,0,15,9,2,8,486,350,145,19,11/28/2020,136,340114,UNC Rex Hospital,MCRHC
13,0,0,0,0,0,0,0,0,0,0,18,0,0,0,11/13/2020,18,340156,Cherokee Indian Hospital,MAHPC
0,0,0,15,15,0,0,0,0,0,0,38,16,0,0,10/15/2020,22,340148,Novant Health - Medical Park Hospital,THPC
46,20,136,240,295,26,0,11,1,2,19,781,640,116,55,11/8/2020,141,340061,UNC Medical Center,MCRHC
36,2,10,22,22,16,0,4,13,0,1,113,82,8,0,10/13/2020,31,340145,Atrium Health - Lincoln,MHPC
54,1,8,4,5,0,0,1,3,2,2,107,106,7,1,10/22/2020,1,340060,UNC Rockingham Hospital,THPC
0,1,8,25,35,0,0,0,0,0,0,93,55,7,10,10/20/2020,38,342014,Highsmith-Rainey Specialty Hospital,MCRHC
0,0,8,0,8,6,0,4,2,1,1,118,55,8,8,10/19/2020,63,340064,WFBMC - Wilkes Regional MC,THPC
36,0,10,18,22,11,0,4,17,1,7,113,72,10,4,11/8/2020,41,340145,Atrium Health - Lincoln,MHPC
43,15,134,240,295,25,0,10,1,3,11,782,658,119,55,10/19/2020,124,340061,UNC Medical Center,MCRHC
8,0,8,5,5,2,0,1,1,1,1,36,36,8,0,11/16/2020,0,340071,Harnett Health - Central Harnett Hospital,CapRAC
18,2,6,5,7,4,0,2,0,2,2,18,15,4,2,10/2/2020,3,340133,Martin General Hospital,EHPC
10,0,6,7,8,5,0,4,0,0,0,53,49,6,1,11/20/2020,4,340127,Granville Health System,DHPC
23,2,27,14,22,19,0,7,1,2,0,275,173,25,8,10/11/2020,102,340004,WFBMC- High Point MC,THPC
37,8,12,12,14,0,0,2,3,0,0,142,130,4,2,10/17/2020,12,340042,Onslow Memorial Hospital,EHPC
0,0,0,1,1,0,0,0,1,1,1,14,10,0,0,11/9/2020,4,341317,LifeBright Community Hospital of Stokes,THPC
12,2,6,12,12,1,0,0,6,2,3,70,46,4,0,10/23/2020,24,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
5,0,0,0,1,0,0,0,0,0,0,12,9,0,1,10/12/2020,3,341314,Washington Regional Medical Center,EHPC
11,6,13,24,25,5,0,1,2,2,0,155,72,7,1,11/5/2020,83,340085,Novant Health - Thomasville MC,THPC
31,5,6,4,4,1,0,0,0,0,0,31,13,1,0,11/15/2020,18,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
10,5,6,8,8,1,0,1,0,0,0,48,33,1,0,10/4/2020,15,340127,Granville Health System,DHPC
0,21,91,53,91,33,0,9,31,2,12,712,586,70,38,11/11/2020,126,340002,Mission Health Hospital,MAHPC
0,16,38,16,27,36,1,6,0,5,0,331,284,22,11,10/12/2020,47,340115,FirstHealth Moore Regional Hospital,MCRHC
31,0,4,23,24,5,0,2,1,0,0,66,44,4,1,10/7/2020,22,340014,Novant Health - Forsyth MC,THPC
37,4,12,10,14,1,1,1,6,0,3,142,138,8,4,10/29/2020,4,340042,Onslow Memorial Hospital,EHPC
4,4,8,6,6,6,0,2,1,1,0,53,26,4,0,10/3/2020,27,340115,FirstHealth Richmond Memorial Hospital,MCRHC
7,0,0,4,4,0,0,0,0,0,0,25,7,0,0,11/4/2020,18,341327,Dosher Memorial Hospital,SHPR
11,0,0,0,0,1,0,0,0,0,0,12,7,0,0,10/31/2020,5,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
14,1,10,13,18,5,0,1,0,1,0,54,50,9,5,11/5/2020,4,340186,Vidant Beaufort Hospital,EHPC
31,0,4,23,24,2,0,0,1,0,0,71,54,4,1,11/6/2020,17,340014,Novant Health - Forsyth MC,THPC
16,0,11,10,13,27,0,8,0,2,0,107,97,11,3,10/25/2020,10,340008,Scotland Health Care System,MHPC
0,4,14,18,26,1,0,0,2,1,3,261,132,10,8,10/22/2020,129,340027,UNC Lenoir Hospital,EHPC
0,4,4,3,3,2,0,0,0,0,0,27,19,0,0,10/22/2020,8,341315,Cape Fear Valley Bladen Hospital,SHPR
49,0,0,7,7,0,0,0,0,0,0,27,19,0,0,10/20/2020,8,341325,Ashe Memorial Hospital,THPC
5,0,0,0,1,2,0,0,0,0,0,12,9,0,1,10/19/2020,3,341314,Washington Regional Medical Center,EHPC
0,4,4,4,4,3,0,0,0,0,2,49,16,0,0,10/19/2020,33,340188,Cape Fear Valley Hoke Hospital,MCRHC
0,0,8,6,8,10,2,5,2,1,1,116,53,8,2,11/3/2020,63,340064,WFBMC - Wilkes Regional MC,THPC
0,2,14,13,26,2,0,0,1,2,1,261,119,12,13,10/31/2020,142,340027,UNC Lenoir Hospital,EHPC
0,4,6,2,2,0,0,0,0,0,0,19,6,2,0,10/21/2020,13,341322,St. Lukes Hospital,MAHPC
10,3,6,8,8,3,0,1,0,0,0,53,30,3,0,11/29/2020,23,340127,Granville Health System,DHPC
29,4,8,15,15,10,0,0,0,3,0,81,51,4,0,11/27/2020,30,340097,Hugh Chatham Memorial Hospital,THPC
12,0,4,3,4,9,0,4,0,2,0,29,21,4,1,10/12/2020,8,341318,Vidant Chowan Hospital,EHPC
0,3,25,12,27,36,0,7,0,7,1,295,162,22,15,10/14/2020,133,340050,Southeastern Regional Medical Center,DHPC
0,6,17,7,9,6,0,2,0,1,0,112,46,11,2,11/16/2020,66,340096,WFBMC - Lexington MC,THPC
0,1,8,0,8,6,0,3,1,2,1,116,58,7,8,10/18/2020,58,340064,WFBMC - Wilkes Regional MC,THPC
0,0,0,1,1,0,0,0,0,0,0,14,10,0,0,10/8/2020,4,341317,LifeBright Community Hospital of Stokes,THPC
0,4,14,17,26,0,0,3,3,0,0,261,108,10,9,10/2/2020,153,340027,UNC Lenoir Hospital,EHPC
0,1,9,3,3,2,0,1,3,1,3,30,24,8,0,10/6/2020,6,341319,Transylvania Regional Hospital,MAHPC
6,0,0,10,10,0,0,0,1,0,1,59,37,0,0,11/5/2020,22,340037,Atrium Health - Kings Mountain,MHPC
0,5,22,43,51,17,0,3,3,1,0,269,166,17,8,10/16/2020,103,340015,Novant Health - Rowan Medical Center,THPC
12,1,10,9,12,8,0,5,0,0,0,96,80,9,3,10/9/2020,16,340051,Watauga Medical Center,THPC
51,0,16,8,15,29,0,8,0,4,0,154,120,16,7,11/27/2020,34,340039,Iredell Health System,THPC
0,2,14,16,26,1,0,0,3,1,2,261,123,12,10,11/6/2020,138,340027,UNC Lenoir Hospital,EHPC
0,4,4,3,3,2,0,0,1,0,0,27,21,0,0,10/10/2020,6,341315,Cape Fear Valley Bladen Hospital,SHPR
44,26,135,238,295,24,0,6,2,0,18,781,663,109,57,10/28/2020,118,340061,UNC Medical Center,MCRHC
0,4,4,3,3,0,0,0,0,0,1,27,22,0,0,11/16/2020,5,341315,Cape Fear Valley Bladen Hospital,SHPR
49,0,0,5,5,0,0,0,0,0,0,27,7,0,0,11/4/2020,20,341325,Ashe Memorial Hospital,THPC
2,1,12,23,26,15,0,6,0,0,2,86,67,11,3,11/7/2020,19,340041,UNC- Caldwell Memorial Hospital,THPC
0,25,91,52,91,49,0,12,36,4,19,712,608,66,39,11/29/2020,104,340002,Mission Health Hospital,MAHPC
,,,,,,,,,,,,,,,11/17/2020,,101,Naval Medical Center Camp Lejeune,SHPR
0,4,14,17,26,0,0,0,7,0,7,261,116,10,9,10/25/2020,145,340027,UNC Lenoir Hospital,EHPC
0,2,8,20,35,0,0,0,0,0,0,93,56,6,15,10/12/2020,37,342014,Highsmith-Rainey Specialty Hospital,MCRHC
0,0,0,1,1,0,0,0,0,0,0,8,5,0,0,10/7/2020,3,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
16,2,10,12,12,1,0,0,0,0,0,110,81,8,0,10/8/2020,29,340184,Haywood Hospital,MAHPC
18,9,20,20,22,6,0,1,5,3,2,220,103,11,2,10/18/2020,117,340070,Alamance Regional Medical Center,MCRHC
26,3,10,0,0,0,0,2,5,0,0,110,63,7,0,10/1/2020,47,340109,Sentara Albemarle Medical Center,EHPC
29,1,5,26,26,10,0,1,2,1,0,114,79,4,0,10/9/2020,35,340158,Novant Health - Brunswick MC,SHPR
12,3,10,9,12,2,0,5,0,2,0,96,89,7,3,10/14/2020,7,340051,Watauga Medical Center,THPC
35,1,16,16,26,23,1,7,2,2,1,200,110,15,10,11/5/2020,90,340143,Catawba Valley Medical Center,THPC
0,0,0,0,0,0,0,0,0,0,0,45,18,0,0,10/7/2020,27,340187,WFBMC- Davie MC,THPC
51,6,16,13,15,2,0,3,7,2,1,154,102,10,2,10/15/2020,52,340039,Iredell Health System,THPC
29,1,6,17,17,8,0,2,5,1,2,62,45,5,0,11/19/2020,17,340068,Columbus Regional Healthcare System,SHPR
0,4,25,19,27,40,0,6,0,7,0,295,164,21,8,10/2/2020,131,340050,Southeastern Regional Medical Center,DHPC
64,3,15,20,25,1,0,1,0,0,0,181,146,12,5,10/2/2020,35,340073,Duke Raleigh Hospital,DHPC
32,5,6,4,4,0,1,0,0,0,0,31,12,1,0,10/3/2020,19,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
11,0,0,2,2,1,0,0,0,0,0,12,3,0,0,10/10/2020,9,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
25,2,8,14,14,3,0,3,0,0,0,88,62,6,0,11/14/2020,26,340144,Davis Regional MC,THPC
0,11,25,23,27,23,0,5,6,3,1,295,148,14,4,11/6/2020,147,340050,Southeastern Regional Medical Center,DHPC
0,0,0,1,1,0,0,0,0,0,0,8,8,0,0,10/21/2020,0,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
29,2,5,25,26,16,0,1,3,2,0,114,68,3,1,11/30/2020,46,340158,Novant Health - Brunswick MC,SHPR
44,8,14,8,9,15,0,2,0,0,0,163,84,6,1,11/7/2020,79,340151,Vidant - North,EHPC
12,0,4,4,4,0,0,0,0,0,0,29,25,4,0,10/2/2020,4,341318,Vidant Chowan Hospital,EHPC
0,0,0,0,0,0,2,0,0,0,0,8,2,0,0,10/10/2020,6,341323,Cannon Hospital,MAHPC
41,12,22,37,37,8,0,3,1,3,6,147,73,10,0,11/11/2020,74,340017,Pardee Hospital,MAHPC
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10/18/2020,0,341316,Highlands Cashiers Hospital,MAHPC
23,0,8,6,9,19,0,1,0,1,0,60,60,8,3,10/15/2020,0,340107,Vidant Edgecombe Hospital,EHPC
46,27,136,249,295,44,0,22,0,4,14,822,635,109,46,11/25/2020,187,340061,UNC Medical Center,MCRHC
29,4,8,15,15,2,0,0,0,0,0,81,53,4,0,10/11/2020,28,340097,Hugh Chatham Memorial Hospital,THPC
5,1,9,10,12,0,0,1,0,0,0,95,68,8,2,10/24/2020,27,340016,Harris Hosptial,MAHPC
,,,,,,,,,,,,,,,10/1/2020,,101,Naval Medical Center Camp Lejeune,SHPR
24,2,8,31,33,3,0,0,16,1,4,126,82,6,2,10/10/2020,44,340166,Atrium Health - University,MHPC
10,4,10,10,12,0,0,1,0,0,0,89,65,6,2,10/24/2020,24,340142,Carteret General Hospital,EHPC
43,22,134,231,295,28,0,10,2,4,18,782,664,112,64,10/18/2020,118,340061,UNC Medical Center,MCRHC
6,0,0,10,10,0,0,0,3,0,0,59,40,0,0,11/12/2020,19,340037,Atrium Health - Kings Mountain,MHPC
0,4,4,3,3,0,0,0,0,0,1,27,22,0,0,11/12/2020,5,341315,Cape Fear Valley Bladen Hospital,SHPR
177,28,120,43,105,35,0,15,7,6,1,919,620,92,62,10/23/2020,299,340047,Wake Forest Baptist MC – Winston Campus,THPC
0,0,0,2,2,0,0,0,2,0,2,15,9,0,0,10/24/2020,6,340084,Atrium Health - Anson,MHPC
0,0,0,0,0,0,0,0,0,0,0,40,24,0,0,10/13/2020,16,340187,WFBMC- Davie MC,THPC
16,3,10,12,12,3,0,0,0,0,0,110,68,7,0,10/25/2020,42,340184,Haywood Hospital,MAHPC
56,2,8,10,10,5,0,1,0,0,0,68,30,6,0,10/1/2020,38,340024,Sampson Regional Medical Center,MCRHC
23,2,28,14,22,15,0,5,1,3,0,291,191,26,8,11/12/2020,100,340004,WFBMC- High Point MC,THPC
10,5,10,16,16,5,0,1,4,1,1,84,28,5,0,11/22/2020,56,340119,Atrium Health - Stanly,MHPC
11,0,10,15,18,12,0,5,0,2,0,54,46,10,3,10/17/2020,8,340186,Vidant Beaufort Hospital,EHPC
277,41,111,65,130,30,0,11,0,2,0,872,828,70,65,10/8/2020,44,340030,Duke University Hospital,DHPC
16,0,0,3,3,4,0,0,2,0,1,55,38,0,0,10/1/2020,17,340069,Wake Medical Center,CapRAC
32,9,21,36,45,39,0,8,1,0,8,277,140,12,9,10/27/2020,137,340147,Nash Health Care System,EHPC
0,7,10,8,9,9,0,3,7,3,5,125,36,3,1,11/28/2020,89,340013,Rutherford Regional Hospital,MAHPC
19,18,74,35,57,16,1,1,32,5,6,609,446,56,22,10/23/2020,163,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
0,15,38,21,27,43,1,8,0,6,1,331,264,23,6,11/29/2020,67,340115,FirstHealth Moore Regional Hospital,MCRHC
0,6,22,45,51,15,0,2,4,1,0,269,174,16,6,10/2/2020,95,340015,Novant Health - Rowan Medical Center,THPC
,,,,,,,,,,,,,,,10/25/2020,,102,Womack Army Medical Center,MCRHC
12,0,4,4,4,0,0,0,0,0,0,29,26,4,0,10/30/2020,3,341318,Vidant Chowan Hospital,EHPC
143,5,65,32,52,33,0,4,5,2,16,628,508,60,20,10/21/2020,120,340028,Cape Fear Valley Medical Center,MCRHC
2,0,12,18,26,15,0,8,2,1,4,86,64,12,8,11/23/2020,22,340041,UNC- Caldwell Memorial Hospital,THPC
48,1,15,28,36,18,0,3,1,2,5,268,193,14,8,10/19/2020,75,340155,Duke Regional Hospital,DHPC
43,4,20,17,22,2,0,0,20,0,3,195,123,16,5,11/10/2020,72,340070,Alamance Regional Medical Center,MCRHC
30,8,112,132,199,65,0,23,21,8,1,1037,739,104,67,10/26/2020,298,340014,Novant Health - Forsyth MC,THPC
0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,11/27/2020,6,341323,Cannon Hospital,MAHPC
12,0,10,9,13,16,1,4,0,5,0,96,96,10,4,11/25/2020,0,340051,Watauga Medical Center,THPC
57,3,12,10,10,4,0,0,4,2,0,53,37,9,0,11/24/2020,16,340091,Cone Health Annie Penn Hospital,THPC
143,6,65,27,57,47,2,8,6,3,20,630,502,59,30,11/29/2020,128,340028,Cape Fear Valley Medical Center,MCRHC
95,0,8,12,17,48,0,8,3,11,0,48,48,8,5,10/3/2020,0,340091,Women's Hospital,THPC
281,17,48,93,189,44,0,8,9,3,0,795,587,31,96,11/27/2020,208,340053,Novant Health - Presbyterian,MHPC
54,1,9,4,5,0,0,5,4,1,3,108,107,8,1,10/1/2020,1,340060,UNC Rockingham Hospital,THPC
44,7,121,96,188,44,2,14,91,3,32,871,789,114,92,10/27/2020,82,340113,Atrium Health - Main,MHPC
30,1,8,7,12,12,0,2,0,2,0,77,55,7,5,11/27/2020,22,340132,Maria Parham Medical Center,DHPC
7,0,0,4,4,0,0,0,1,0,1,25,13,0,0,10/2/2020,12,341327,Dosher Memorial Hospital,SHPR
12,3,27,26,47,43,1,3,0,4,6,406,383,24,21,11/12/2020,23,340032,CaroMont Health,MHPC
0,6,14,19,26,0,0,3,2,1,0,261,95,8,7,10/3/2020,166,340027,UNC Lenoir Hospital,EHPC
10,0,8,8,9,0,0,4,0,0,0,70,60,8,1,10/31/2020,10,340099,Vidant Roanoke Chowan Hospital,EHPC
12,1,12,8,11,0,0,3,0,0,0,97,51,11,3,10/8/2020,46,340129,Lake Norman Regional Medical Center,MHPC
0,1,10,6,7,13,0,4,2,4,2,78,49,9,1,11/27/2020,29,340003,Northern Regional Hospital,THPC
143,5,65,26,57,47,1,10,6,1,20,630,485,60,31,11/28/2020,145,340028,Cape Fear Valley Medical Center,MCRHC
0,0,0,2,2,0,0,0,0,0,0,6,3,0,0,11/19/2020,3,341320,Alleghany Memorial Hospital,THPC
51,2,16,13,15,1,0,3,3,4,3,154,112,14,2,10/16/2020,42,340039,Iredell Health System,THPC
20,10,23,50,56,20,0,3,0,5,0,309,208,13,6,11/15/2020,101,340131,CarolinaEast Medical Center,EHPC
10,1,7,18,18,0,0,0,1,0,0,77,39,6,0,10/19/2020,38,340190,Novant Health - Mint Hill,THPC
0,4,4,3,3,2,0,0,0,0,0,27,18,0,0,10/4/2020,9,341315,Cape Fear Valley Bladen Hospital,SHPR
6,0,0,10,10,0,0,0,4,0,2,59,28,0,0,10/3/2020,31,340037,Atrium Health - Kings Mountain,MHPC
0,0,0,1,1,0,0,0,0,0,0,8,8,0,0,10/14/2020,0,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
281,5,48,105,187,32,0,3,19,6,4,827,672,43,82,10/20/2020,155,340053,Novant Health - Presbyterian,MHPC
37,5,12,12,14,1,0,1,10,2,4,142,134,7,2,10/11/2020,8,340042,Onslow Memorial Hospital,EHPC
69,10,64,52,68,32,0,10,82,1,29,503,426,54,16,11/3/2020,77,340001,Atrium Health - Cabarrus,MHPC
60,24,120,101,181,32,0,9,0,7,0,888,822,96,80,11/10/2020,66,340040,Vidant Medical Center,EHPC
27,0,0,13,13,1,0,0,0,0,0,42,31,0,0,10/21/2020,11,340014,Novant Health - Forsyth MC,THPC
30,2,8,11,12,2,0,0,0,0,0,77,49,6,1,10/17/2020,28,340132,Maria Parham Medical Center,DHPC
5,0,9,8,12,0,0,4,0,0,0,95,67,9,4,11/18/2020,28,340016,Harris Hosptial,MAHPC
0,0,0,2,2,1,0,0,3,0,0,15,3,0,0,11/10/2020,12,340084,Atrium Health - Anson,MHPC
6,0,0,10,10,0,0,0,5,0,2,59,35,0,0,11/3/2020,24,340037,Atrium Health - Kings Mountain,MHPC
,,,,,,,,,,,,,,,10/4/2020,,101,Naval Medical Center Camp Lejeune,SHPR
10,0,18,34,43,26,1,10,31,4,10,203,139,18,9,10/13/2020,64,340021,Atrium Health - Cleveland,MHPC
7,0,0,4,4,0,0,0,0,0,0,18,11,0,0,11/9/2020,7,341307,Pender Memorial Hospital,SHPR
49,0,0,5,5,1,0,0,0,0,0,27,14,0,0,10/31/2020,13,341325,Ashe Memorial Hospital,THPC
56,4,8,9,10,4,1,2,0,0,0,67,21,4,1,11/7/2020,46,340024,Sampson Regional Medical Center,MCRHC
24,14,66,36,57,28,1,7,38,6,9,604,448,52,21,11/18/2020,156,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
177,33,133,48,105,38,1,18,1,6,0,937,612,100,57,11/18/2020,325,340047,Wake Forest Baptist MC – Winston Campus,THPC
143,3,65,26,52,35,0,6,7,1,15,611,503,62,26,10/5/2020,108,340028,Cape Fear Valley Medical Center,MCRHC
37,1,12,3,14,2,0,6,2,2,2,142,141,11,11,11/25/2020,1,340042,Onslow Memorial Hospital,EHPC
1,0,0,2,2,0,0,0,0,0,0,12,6,0,0,11/25/2020,6,341305,Swain Hospital,MAHPC
429,36,76,88,120,31,0,8,4,6,17,778,580,40,32,11/22/2020,198,340141,New Hanover Regional MC,SHPR
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11/6/2020,0,341316,Highlands Cashiers Hospital,MAHPC
12,8,27,28,47,60,2,4,3,6,4,406,350,19,19,11/23/2020,56,340032,CaroMont Health,MHPC
5,1,9,8,12,0,0,3,0,0,0,95,74,8,4,10/17/2020,21,340016,Harris Hosptial,MAHPC
0,0,0,15,15,0,0,0,0,0,0,38,16,0,0,11/20/2020,22,340148,Novant Health - Medical Park Hospital,THPC
10,5,6,8,8,0,0,0,0,0,0,48,37,1,0,10/26/2020,11,340127,Granville Health System,DHPC
16,0,0,3,3,2,0,0,1,0,0,55,24,0,0,10/4/2020,31,340069,Wake Medical Center,CapRAC
0,4,14,17,26,3,0,4,2,3,2,261,114,10,9,10/16/2020,147,340027,UNC Lenoir Hospital,EHPC
0,0,0,1,1,0,0,0,0,0,0,14,5,0,0,10/11/2020,9,341317,LifeBright Community Hospital of Stokes,THPC
4,2,8,0,0,5,0,2,0,1,1,53,33,6,0,10/31/2020,20,340115,FirstHealth Richmond Memorial Hospital,MCRHC
35,0,16,13,26,28,0,7,4,3,2,200,114,16,13,11/1/2020,86,340143,Catawba Valley Medical Center,THPC
56,1,8,10,10,3,0,2,0,3,0,67,27,7,0,10/12/2020,40,340024,Sampson Regional Medical Center,MCRHC
0,0,10,7,7,12,0,7,2,2,1,78,56,10,0,11/11/2020,22,340003,Northern Regional Hospital,THPC
281,13,48,104,189,47,2,4,8,8,0,795,613,35,85,11/30/2020,182,340053,Novant Health - Presbyterian,MHPC
23,5,26,12,22,24,1,10,3,0,1,271,173,21,10,11/27/2020,98,340004,WFBMC- High Point MC,THPC
,,,,,,,,,,,,,,,10/27/2020,,340039,Iredell Health System,THPC
28,17,69,37,57,32,0,9,32,6,4,600,399,52,20,11/25/2020,201,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
64,4,15,20,25,5,0,1,0,2,0,183,165,11,5,10/19/2020,18,340073,Duke Raleigh Hospital,DHPC
0,22,91,59,91,28,0,6,27,7,42,712,564,69,32,10/9/2020,148,340002,Mission Health Hospital,MAHPC
8,3,8,5,5,6,0,1,5,1,3,34,30,5,0,11/20/2020,4,340071,Harnett Health - Central Harnett Hospital,CapRAC
5,0,0,0,1,0,0,0,0,0,0,12,10,0,1,11/20/2020,2,341314,Washington Regional Medical Center,EHPC
0,0,0,2,2,5,0,0,0,0,2,32,9,0,0,10/24/2020,23,341329,Blue Ridge Regional Hospital,MAHPC
0,0,0,2,2,4,1,0,2,4,2,32,11,0,0,11/19/2020,21,341329,Blue Ridge Regional Hospital,MAHPC
10,1,18,35,45,26,1,9,16,5,5,203,143,17,10,11/6/2020,60,340021,Atrium Health - Cleveland,MHPC
23,0,8,5,9,25,0,5,0,5,0,60,60,8,4,10/26/2020,0,340107,Vidant Edgecombe Hospital,EHPC
5,0,0,0,1,0,0,0,0,0,0,12,12,0,1,11/24/2020,0,341314,Washington Regional Medical Center,EHPC
16,4,10,12,12,2,0,0,0,1,1,110,75,6,0,10/15/2020,35,340184,Haywood Hospital,MAHPC
36,0,10,20,20,17,0,6,15,1,4,113,78,10,0,10/11/2020,35,340145,Atrium Health - Lincoln,MHPC
0,4,4,3,3,1,0,0,0,0,0,27,18,0,0,11/10/2020,9,341315,Cape Fear Valley Bladen Hospital,SHPR
59,1,10,34,40,5,0,1,4,1,1,246,161,9,6,10/23/2020,85,340171,Novant Health - Matthews,MHPC
5,0,0,0,1,0,0,0,0,0,0,12,8,0,1,11/3/2020,4,341314,Washington Regional Medical Center,EHPC
20,11,23,52,56,29,0,4,0,9,0,309,195,12,4,11/26/2020,114,340131,CarolinaEast Medical Center,EHPC
16,0,0,3,3,4,0,0,1,0,2,55,38,0,0,10/22/2020,17,340069,Wake Medical Center,CapRAC
0,0,0,15,15,0,0,0,0,0,0,38,22,0,0,10/22/2020,16,340148,Novant Health - Medical Park Hospital,THPC
0,2,18,7,9,5,0,1,0,2,0,113,57,16,2,11/17/2020,56,340096,WFBMC - Lexington MC,THPC
58,6,19,9,9,8,0,8,0,2,0,81,45,13,0,11/4/2020,36,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
41,16,22,32,37,4,0,1,1,0,4,148,67,6,5,10/16/2020,81,340017,Pardee Hospital,MAHPC
12,1,12,8,11,0,0,4,1,0,1,97,51,11,3,10/6/2020,46,340129,Lake Norman Regional Medical Center,MHPC
22,15,59,28,34,23,1,6,1,5,10,177,119,44,6,11/25/2020,58,340090,Johnston UNC Health Care,CapRAC
0,0,0,15,15,0,0,0,0,0,0,38,8,0,0,10/25/2020,30,340148,Novant Health - Medical Park Hospital,THPC
,,,,,,,,,,,,,,,11/29/2020,,100,Durham VA,DHPC
59,1,10,37,40,4,0,1,1,0,0,246,164,9,3,10/22/2020,82,340171,Novant Health - Matthews,MHPC
0,3,10,6,7,1,0,2,13,1,3,78,53,7,1,11/3/2020,25,340003,Northern Regional Hospital,THPC
10,0,10,11,15,2,0,1,11,1,1,84,84,10,4,11/29/2020,0,340119,Atrium Health - Stanly,MHPC
10,4,6,8,8,2,1,3,0,0,0,53,30,2,0,11/23/2020,23,340127,Granville Health System,DHPC
12,2,27,28,47,44,1,4,0,3,3,451,414,25,19,10/27/2020,37,340032,CaroMont Health,MHPC
0,1,10,6,7,15,1,2,1,1,0,78,57,9,1,11/24/2020,21,340003,Northern Regional Hospital,THPC
53,1,17,29,43,24,1,3,0,1,4,260,127,16,14,11/19/2020,133,340010,Wayne UNC Health Care,EHPC
36,1,10,18,22,9,0,4,19,1,8,113,77,9,4,11/6/2020,36,340145,Atrium Health - Lincoln,MHPC
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10/14/2020,0,341316,Highlands Cashiers Hospital,MAHPC
11,0,0,2,2,0,0,0,0,0,0,12,8,0,0,10/23/2020,4,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
0,4,4,2,3,2,0,0,1,0,0,27,14,0,1,11/27/2020,13,341315,Cape Fear Valley Bladen Hospital,SHPR
64,6,15,24,25,9,0,1,0,0,1,182,121,9,1,11/28/2020,61,340073,Duke Raleigh Hospital,DHPC
277,0,111,67,130,48,0,14,0,4,1,875,752,111,63,11/21/2020,123,340030,Duke University Hospital,DHPC
20,8,23,49,56,17,1,2,0,5,0,309,204,15,7,11/14/2020,105,340131,CarolinaEast Medical Center,EHPC
43,8,20,18,22,5,0,0,15,3,3,195,114,12,4,11/18/2020,81,340070,Alamance Regional Medical Center,MCRHC
0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,11/29/2020,1,341323,Cannon Hospital,MAHPC
49,0,8,18,22,16,0,2,1,3,1,264,159,8,4,11/10/2020,105,340183,Novant Health - Huntersville,MHPC
32,11,21,40,45,32,0,5,0,1,5,277,122,10,5,11/30/2020,155,340147,Nash Health Care System,EHPC
0,2,9,3,3,2,0,0,2,1,1,37,16,7,0,10/18/2020,21,341326,Angel Medical Center,MAHPC
12,0,0,2,2,0,0,0,0,0,0,6,3,0,0,10/16/2020,3,341304,Vidant Bertie Hospital,EHPC
29,1,6,16,17,6,0,3,3,0,4,62,45,5,1,10/30/2020,17,340068,Columbus Regional Healthcare System,SHPR
5,0,0,0,1,0,0,0,0,0,0,12,9,0,1,10/31/2020,3,341314,Washington Regional Medical Center,EHPC
12,4,27,24,47,53,1,5,3,2,7,420,334,23,23,10/22/2020,86,340032,CaroMont Health,MHPC
49,0,8,20,22,11,0,2,0,1,0,264,152,8,2,11/7/2020,112,340183,Novant Health - Huntersville,MHPC
20,1,6,4,4,0,0,0,5,0,1,18,16,5,0,10/6/2020,2,340159,Person Memorial Hospital,DHPC
8,3,8,4,5,5,0,1,6,2,1,32,29,5,1,11/30/2020,3,340071,Harnett Health - Central Harnett Hospital,CapRAC
5,0,0,0,1,0,0,0,0,0,0,12,9,0,1,10/28/2020,3,341314,Washington Regional Medical Center,EHPC
