Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital,Coalition
0,5,9,3,3,0,0,0,2,0,1,30,15,4,0,10/15/2020,15,341319,Transylvania Regional Hospital,MAHPC
10,4,6,8,8,0,0,0,1,0,0,48,32,2,0,10/28/2020,16,340127,Granville Health System,DHPC
22,23,59,28,34,14,0,4,4,2,12,177,112,36,6,10/9/2020,65,340090,Johnston UNC Health Care,CapRAC
63,3,17,23,43,30,1,0,1,1,1,250,128,14,20,10/27/2020,122,340010,Wayne UNC Health Care,EHPC
51,1,16,8,15,4,0,5,1,4,0,154,130,15,7,10/30/2020,24,340039,Iredell Health System,THPC
0,6,10,9,9,8,1,1,8,1,8,125,44,4,0,10/21/2020,81,340013,Rutherford Regional Hospital,MAHPC
10,1,10,15,16,8,0,0,12,3,2,84,57,9,1,10/11/2020,27,340119,Atrium Health - Stanly,MHPC
0,0,1,2,4,2,0,0,0,0,1,25,15,1,2,10/2/2020,10,340087,McDowell Hospital,MAHPC
0,6,22,44,51,16,0,4,9,0,2,269,172,16,7,10/23/2020,97,340015,Novant Health - Rowan Medical Center,THPC
8,0,0,5,5,0,0,0,6,0,0,17,13,0,0,10/26/2020,4,341324,The Outer Banks Hospital,EHPC
0,0,10,4,7,1,0,0,5,2,2,78,37,10,3,10/10/2020,41,340003,Northern Regional Hospital,THPC
,,,,,,,,,,,,,,,10/21/2020,,100,Durham VA,DHPC
0,0,0,2,2,5,0,0,0,1,1,32,11,0,0,10/19/2020,21,341329,Blue Ridge Regional Hospital,MAHPC
0,4,4,3,3,2,0,0,0,0,0,27,19,0,0,10/5/2020,8,341315,Cape Fear Valley Bladen Hospital,SHPR
0,6,14,20,26,0,0,4,7,0,7,261,112,8,6,10/6/2020,149,340027,UNC Lenoir Hospital,EHPC
7,0,0,4,4,0,0,0,4,0,0,18,12,0,0,10/4/2020,6,341307,Pender Memorial Hospital,SHPR
11,0,0,2,2,1,0,0,0,0,0,12,8,0,0,10/25/2020,4,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
,,,,,,,,,,,,,,,10/22/2020,,101,Naval Medical Center Camp Lejeune,SHPR
32,38,181,115,134,11,1,5,5,2,35,432,335,143,19,10/9/2020,97,340114,UNC Rex Hospital,MCRHC
72,1,8,5,6,0,0,3,0,0,0,53,44,7,1,10/17/2020,9,340020,Central Carolina Hospital,CapRAC
429,23,62,84,120,30,0,11,3,2,31,764,590,39,36,10/21/2020,174,340141,New Hanover Regional MC,SHPR
6,0,0,10,10,0,0,0,8,0,1,59,41,0,0,10/6/2020,18,340037,Atrium Health - Kings Mountain,MHPC
23,3,26,14,22,18,0,7,0,1,0,298,183,23,8,10/9/2020,115,340004,WFBMC- High Point MC,THPC
12,0,4,3,4,8,0,4,0,0,0,29,20,4,1,10/16/2020,9,341318,Vidant Chowan Hospital,EHPC
0,2,25,27,27,39,0,7,0,1,0,295,169,23,0,10/17/2020,126,340050,Southeastern Regional Medical Center,DHPC
18,1,14,35,39,9,1,3,29,1,16,176,125,13,4,10/30/2020,51,340130,Atrium Health - Union,MHPC
41,14,22,32,37,1,0,0,1,0,0,148,70,8,5,10/19/2020,78,340017,Pardee Hospital,MAHPC
0,0,0,1,2,5,0,0,2,0,1,32,9,0,1,10/9/2020,23,341329,Blue Ridge Regional Hospital,MAHPC
27,0,0,13,13,0,0,0,0,0,0,42,33,0,0,10/9/2020,9,340014,Novant Health - Forsyth MC,THPC
0,0,0,2,2,0,0,0,0,0,0,6,4,0,0,10/17/2020,2,341320,Alleghany Memorial Hospital,THPC
16,2,4,6,6,0,0,0,0,0,2,20,13,2,0,10/2/2020,7,341311,UNC Chatham Hospital,MCRHC
16,0,0,3,3,3,0,0,0,0,4,55,33,0,0,10/11/2020,22,340069,Wake Medical Center,CapRAC
10,0,8,7,9,0,0,1,0,0,0,70,59,8,2,10/28/2020,11,340099,Vidant Roanoke Chowan Hospital,EHPC
12,2,4,4,4,1,1,1,0,1,0,29,20,2,0,10/27/2020,9,341318,Vidant Chowan Hospital,EHPC
29,2,8,15,15,4,0,1,0,0,0,81,41,6,0,10/18/2020,40,340097,Hugh Chatham Memorial Hospital,THPC
12,9,27,25,39,39,0,1,4,4,12,407,355,18,14,10/6/2020,52,340032,CaroMont Health,MHPC
6,0,0,10,10,0,0,0,2,0,1,59,31,0,0,10/19/2020,28,340037,Atrium Health - Kings Mountain,MHPC
51,2,16,11,15,1,0,1,1,1,1,154,124,14,4,10/9/2020,30,340039,Iredell Health System,THPC
0,0,0,1,1,0,0,0,0,0,0,8,4,0,0,10/23/2020,4,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
31,1,4,23,24,4,1,1,1,0,1,66,40,3,1,10/10/2020,26,340014,Novant Health - Forsyth MC,THPC
277,23,111,54,130,25,0,7,1,8,2,872,844,88,76,10/27/2020,28,340030,Duke University Hospital,DHPC
16,4,10,12,12,2,0,1,0,0,0,110,70,6,0,10/21/2020,40,340184,Haywood Hospital,MAHPC
0,6,25,27,27,40,0,4,0,4,0,295,159,19,0,10/4/2020,136,340050,Southeastern Regional Medical Center,DHPC
12,0,6,11,12,0,0,0,4,0,2,68,53,6,1,10/9/2020,15,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
0,1,9,3,3,3,0,0,3,2,6,37,18,8,0,10/20/2020,19,341326,Angel Medical Center,MAHPC
41,17,22,33,37,4,1,1,9,0,4,148,63,5,4,10/4/2020,85,340017,Pardee Hospital,MAHPC
81,0,8,13,17,63,0,8,0,9,0,62,62,8,4,10/10/2020,0,340091,Women's Hospital,THPC
0,4,9,3,3,0,0,0,3,0,1,30,19,5,0,10/29/2020,11,341319,Transylvania Regional Hospital,MAHPC
20,2,16,13,16,28,0,3,0,0,0,138,135,14,3,10/15/2020,3,340126,Wilson Medical Center,EHPC
25,11,24,19,24,12,0,7,0,0,0,204,138,13,5,10/29/2020,66,340116,Frye Regional MC,THPC
49,0,0,7,7,0,0,0,0,0,0,27,15,0,0,10/10/2020,12,341325,Ashe Memorial Hospital,THPC
0,4,6,2,2,2,0,2,0,0,0,8,9,2,0,10/18/2020,-1,341322,St. Lukes Hospital,MAHPC
36,0,10,19,22,12,0,5,11,1,5,113,72,10,3,10/16/2020,41,340145,Atrium Health - Lincoln,MHPC
0,1,8,23,35,0,0,0,0,0,0,93,56,7,12,10/17/2020,37,342014,Highsmith-Rainey Specialty Hospital,MCRHC
8,0,0,5,5,0,0,0,0,0,0,17,17,0,0,10/6/2020,0,341324,The Outer Banks Hospital,EHPC
56,2,8,9,10,3,0,2,0,0,0,67,28,6,1,10/11/2020,39,340024,Sampson Regional Medical Center,MCRHC
10,1,18,37,43,22,0,9,36,3,10,203,127,17,6,10/12/2020,76,340021,Atrium Health - Cleveland,MHPC
7,0,9,10,10,5,0,2,0,1,0,34,33,9,0,10/18/2020,1,340120,Vidant Duplin Hospital,EHPC
69,17,64,53,69,38,0,17,62,2,21,503,405,47,16,10/21/2020,98,340001,Atrium Health - Cabarrus,MHPC
11,0,0,2,2,1,0,0,0,0,0,12,4,0,0,10/11/2020,8,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
43,19,134,233,295,25,2,8,18,4,50,779,652,115,62,10/1/2020,127,340061,UNC Medical Center,MCRHC
0,6,9,3,3,0,0,0,0,0,1,30,17,3,0,10/11/2020,13,341319,Transylvania Regional Hospital,MAHPC
0,4,4,4,4,2,0,0,0,0,1,49,13,0,0,10/30/2020,36,340188,Cape Fear Valley Hoke Hospital,MCRHC
63,2,17,28,43,23,1,1,1,2,1,250,105,15,15,10/31/2020,145,340010,Wayne UNC Health Care,EHPC
43,9,134,243,295,25,0,11,3,0,9,781,678,125,52,10/15/2020,103,340061,UNC Medical Center,MCRHC
0,3,9,3,3,0,0,0,0,0,1,30,16,6,0,10/22/2020,14,341319,Transylvania Regional Hospital,MAHPC
44,14,121,100,188,48,2,13,73,5,28,871,767,107,88,10/23/2020,104,340113,Atrium Health - Main,MHPC
72,0,8,5,6,9,0,3,0,1,0,53,45,8,1,10/19/2020,8,340020,Central Carolina Hospital,CapRAC
136,7,76,99,123,36,1,9,1,0,7,520,444,69,24,10/25/2020,76,340069,Wake Medical Center,CapRAC
25,8,24,14,24,14,0,8,0,0,0,204,167,16,10,10/22/2020,37,340116,Frye Regional MC,THPC
57,4,12,10,10,2,0,0,3,0,0,53,30,8,0,10/12/2020,23,340091,Cone Health Annie Penn Hospital,THPC
5,1,3,11,11,0,0,0,0,0,0,58,45,2,0,10/29/2020,13,340123,Randolph Hospital,THPC
65,1,12,14,17,6,0,3,0,0,0,170,165,11,3,10/17/2020,5,340173,Wake Medical Center Cary,CapRAC
13,0,0,0,0,0,0,0,0,0,0,18,0,0,0,10/18/2020,18,340156,Cherokee Indian Hospital,MAHPC
49,0,8,20,21,8,0,2,1,1,0,264,171,8,1,10/23/2020,93,340183,Novant Health - Huntersville,MHPC
8,0,0,5,5,1,0,0,2,0,0,17,12,0,0,10/20/2020,5,341324,The Outer Banks Hospital,EHPC
0,0,0,15,15,0,0,0,0,0,0,38,19,0,0,10/9/2020,19,340148,Novant Health - Medical Park Hospital,THPC
23,1,25,13,22,17,0,7,1,2,1,277,182,24,9,10/30/2020,95,340004,WFBMC- High Point MC,THPC
26,4,10,13,16,0,0,0,3,0,1,110,78,6,3,10/22/2020,32,340109,Sentara Albemarle Medical Center,EHPC
64,2,15,20,25,6,0,0,0,0,1,183,171,13,5,10/20/2020,12,340073,Duke Raleigh Hospital,DHPC
0,4,4,4,4,1,0,0,4,0,1,49,13,0,0,10/6/2020,36,340188,Cape Fear Valley Hoke Hospital,MCRHC
281,11,48,103,187,23,0,4,5,3,0,827,620,37,84,10/11/2020,207,340053,Novant Health - Presbyterian,MHPC
7,0,0,4,4,0,0,0,0,0,0,25,13,0,0,10/23/2020,12,341327,Dosher Memorial Hospital,SHPR
7,0,0,4,4,0,0,0,0,0,0,25,13,0,0,10/21/2020,12,341327,Dosher Memorial Hospital,SHPR
0,0,0,2,2,0,0,0,0,1,0,6,2,0,0,10/16/2020,4,341320,Alleghany Memorial Hospital,THPC
54,1,7,3,5,0,0,2,2,1,0,108,107,6,2,10/7/2020,1,340060,UNC Rockingham Hospital,THPC
18,10,20,16,22,2,0,0,6,0,1,220,115,10,6,10/6/2020,105,340070,Alamance Regional Medical Center,MCRHC
12,2,12,8,11,0,0,0,0,0,0,97,50,10,3,10/12/2020,47,340129,Lake Norman Regional Medical Center,MHPC
10,0,8,7,9,1,0,1,0,1,0,70,61,8,2,10/26/2020,9,340099,Vidant Roanoke Chowan Hospital,EHPC
0,3,6,2,2,2,0,1,0,1,0,25,16,3,0,10/2/2020,9,341322,St. Lukes Hospital,MAHPC
51,3,16,14,15,7,0,2,5,1,1,154,106,13,1,10/5/2020,48,340039,Iredell Health System,THPC
72,0,8,3,6,8,0,1,0,2,0,53,53,8,3,10/28/2020,0,340020,Central Carolina Hospital,CapRAC
44,9,14,9,9,1,0,0,0,0,0,163,83,5,0,10/8/2020,80,340151,Vidant - North,EHPC
27,0,0,13,13,1,0,0,0,0,0,42,34,0,0,10/13/2020,8,340014,Novant Health - Forsyth MC,THPC
0,0,1,3,4,2,0,0,0,0,1,25,20,1,1,10/5/2020,5,340087,McDowell Hospital,MAHPC
41,13,22,34,37,1,0,0,0,0,1,148,57,9,3,10/24/2020,91,340017,Pardee Hospital,MAHPC
10,2,6,8,8,0,0,0,3,0,0,48,34,4,0,10/29/2020,14,340127,Granville Health System,DHPC
0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,10/4/2020,4,341323,Cannon Hospital,MAHPC
23,0,8,5,9,20,0,3,0,0,0,60,59,8,4,10/30/2020,1,340107,Vidant Edgecombe Hospital,EHPC
0,0,8,3,8,5,0,4,2,0,1,114,42,8,5,10/24/2020,72,340064,WFBMC - Wilkes Regional MC,THPC
12,0,0,2,2,0,0,0,0,0,0,6,3,0,0,10/14/2020,3,341304,Vidant Bertie Hospital,EHPC
24,4,8,32,32,3,0,1,15,2,1,126,89,4,0,10/30/2020,37,340166,Atrium Health - University,MHPC
136,12,76,104,123,32,0,4,1,0,8,520,461,64,19,10/20/2020,59,340069,Wake Medical Center,CapRAC
27,0,0,13,13,1,0,0,0,0,0,42,29,0,0,10/22/2020,13,340014,Novant Health - Forsyth MC,THPC
36,0,10,22,22,12,0,3,20,1,11,113,71,10,0,10/26/2020,42,340145,Atrium Health - Lincoln,MHPC
136,13,76,99,123,28,1,4,1,3,5,520,453,63,24,10/28/2020,67,340069,Wake Medical Center,CapRAC
277,15,111,56,130,21,0,9,1,3,2,867,843,96,74,10/22/2020,24,340030,Duke University Hospital,DHPC
44,2,6,5,7,2,0,4,0,0,0,88,58,4,2,10/22/2020,30,340023,Park Ridge Health (Advent Health),MAHPC
0,15,38,20,27,39,1,6,3,4,0,331,289,23,7,10/5/2020,42,340115,FirstHealth Moore Regional Hospital,MCRHC
8,2,8,4,5,0,0,2,4,1,2,34,31,6,1,10/5/2020,3,340071,Harnett Health - Central Harnett Hospital,CapRAC
11,7,13,21,25,3,0,0,0,2,0,155,68,6,4,10/4/2020,87,340085,Novant Health - Thomasville MC,THPC
0,0,0,15,15,0,0,0,0,0,0,38,21,0,0,10/2/2020,17,340148,Novant Health - Medical Park Hospital,THPC
0,0,9,3,3,2,0,0,1,0,3,37,16,9,0,10/29/2020,21,341326,Angel Medical Center,MAHPC
54,1,8,5,5,0,0,3,4,0,2,108,107,7,0,10/5/2020,1,340060,UNC Rockingham Hospital,THPC
12,8,27,29,39,33,0,2,5,5,4,406,325,19,10,10/9/2020,81,340032,CaroMont Health,MHPC
429,27,62,94,120,33,1,10,3,1,31,764,611,35,26,10/9/2020,153,340141,New Hanover Regional MC,SHPR
6,0,0,10,10,1,0,0,3,0,1,59,25,0,0,10/9/2020,34,340037,Atrium Health - Kings Mountain,MHPC
0,3,22,46,51,14,1,2,2,0,0,269,180,19,5,10/1/2020,89,340015,Novant Health - Rowan Medical Center,THPC
69,10,64,52,69,36,1,17,52,4,16,503,409,54,17,10/23/2020,94,340001,Atrium Health - Cabarrus,MHPC
0,2,10,5,7,2,0,5,1,2,0,78,43,8,2,10/17/2020,35,340003,Northern Regional Hospital,THPC
0,0,0,15,15,0,0,0,0,0,0,38,18,0,0,10/16/2020,20,340148,Novant Health - Medical Park Hospital,THPC
49,0,8,17,21,5,0,1,2,0,0,264,146,8,4,10/6/2020,118,340183,Novant Health - Huntersville,MHPC
54,1,8,5,5,0,0,3,4,0,1,107,106,7,0,10/29/2020,1,340060,UNC Rockingham Hospital,THPC
10,35,181,116,134,15,0,6,6,2,7,457,362,146,18,10/21/2020,95,340114,UNC Rex Hospital,MCRHC
44,8,14,8,9,7,0,1,0,2,0,163,89,6,1,10/22/2020,74,340151,Vidant - North,EHPC
7,0,0,4,4,0,0,0,0,0,0,18,16,0,0,10/31/2020,2,341307,Pender Memorial Hospital,SHPR
44,8,14,9,9,2,0,0,0,1,0,163,89,6,0,10/9/2020,74,340151,Vidant - North,EHPC
0,2,25,18,27,34,0,6,0,10,1,295,173,23,9,10/13/2020,122,340050,Southeastern Regional Medical Center,DHPC
0,17,91,66,91,36,1,6,24,7,10,712,622,74,25,10/29/2020,90,340002,Mission Health Hospital,MAHPC
6,7,10,6,9,5,0,5,0,1,0,96,64,3,3,10/3/2020,32,340051,Watauga Medical Center,THPC
12,1,12,9,11,0,0,0,1,0,1,97,56,11,2,10/13/2020,41,340129,Lake Norman Regional Medical Center,MHPC
29,0,6,14,17,9,0,2,4,5,4,62,56,6,3,10/21/2020,6,340068,Columbus Regional Healthcare System,SHPR
35,2,16,18,26,20,1,7,1,2,1,200,132,14,8,10/13/2020,68,340143,Catawba Valley Medical Center,THPC
12,13,74,36,57,13,0,0,34,3,5,616,456,61,21,10/28/2020,160,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
143,4,65,25,52,43,0,6,5,2,22,630,521,61,27,10/30/2020,109,340028,Cape Fear Valley Medical Center,MCRHC
0,0,0,0,0,0,0,0,0,0,0,43,16,0,0,10/23/2020,27,340187,WFBMC- Davie MC,THPC
41,14,22,34,37,6,0,4,4,1,5,148,64,8,3,10/1/2020,84,340017,Pardee Hospital,MAHPC
49,0,8,20,21,14,0,4,3,4,0,264,146,8,1,10/26/2020,118,340183,Novant Health - Huntersville,MHPC
5,0,0,0,1,0,0,0,0,0,0,12,10,0,1,10/26/2020,2,341314,Washington Regional Medical Center,EHPC
23,0,8,6,9,13,0,1,0,1,0,60,59,8,3,10/14/2020,1,340107,Vidant Edgecombe Hospital,EHPC
5,3,3,11,11,0,0,0,1,0,0,58,38,0,0,10/23/2020,20,340123,Randolph Hospital,THPC
49,0,0,7,7,0,0,0,0,0,0,27,12,0,0,10/15/2020,15,341325,Ashe Memorial Hospital,THPC
177,28,120,48,105,34,0,11,1,6,0,896,596,92,57,10/10/2020,300,340047,Wake Forest Baptist MC – Winston Campus,THPC
10,2,6,8,8,0,0,2,0,0,0,48,40,4,0,10/21/2020,8,340127,Granville Health System,DHPC
277,40,110,62,130,30,1,9,0,9,1,855,774,70,68,10/10/2020,81,340030,Duke University Hospital,DHPC
5,2,3,10,11,0,0,0,1,0,1,58,41,1,1,10/22/2020,17,340123,Randolph Hospital,THPC
0,2,8,22,35,0,0,0,0,0,0,93,56,6,13,10/14/2020,37,342014,Highsmith-Rainey Specialty Hospital,MCRHC
4,1,8,6,6,5,0,1,0,0,0,53,30,7,0,10/23/2020,23,340115,FirstHealth Richmond Memorial Hospital,MCRHC
0,7,25,18,27,14,0,2,8,4,1,295,168,18,9,10/26/2020,127,340050,Southeastern Regional Medical Center,DHPC
23,0,8,8,9,10,0,3,0,3,0,60,57,8,1,10/1/2020,3,340107,Vidant Edgecombe Hospital,EHPC
10,4,10,10,12,1,0,1,0,1,0,89,65,6,2,10/26/2020,24,340142,Carteret General Hospital,EHPC
0,6,10,9,9,7,0,1,9,3,7,125,45,4,0,10/23/2020,80,340013,Rutherford Regional Hospital,MAHPC
20,3,16,4,13,22,0,3,0,0,0,138,131,13,9,10/5/2020,7,340126,Wilson Medical Center,EHPC
,,,,,,,,,,,,,,,10/18/2020,,102,Womack Army Medical Center,MCRHC
59,0,10,28,40,4,0,0,3,0,1,246,178,10,12,10/12/2020,68,340171,Novant Health - Matthews,MHPC
143,7,65,32,52,41,0,6,3,3,18,608,504,58,20,10/10/2020,104,340028,Cape Fear Valley Medical Center,MCRHC
25,3,8,14,14,1,0,0,0,0,0,88,44,5,0,10/3/2020,44,340144,Davis Regional MC,THPC
10,1,18,31,42,31,0,8,19,3,7,203,133,17,11,10/24/2020,70,340021,Atrium Health - Cleveland,MHPC
16,1,10,12,12,2,0,0,0,0,0,110,83,9,0,10/27/2020,27,340184,Haywood Hospital,MAHPC
44,19,135,234,295,31,1,9,5,2,17,782,664,116,61,10/29/2020,118,340061,UNC Medical Center,MCRHC
24,0,8,31,33,5,0,0,14,0,3,126,83,8,2,10/19/2020,43,340166,Atrium Health - University,MHPC
12,3,12,10,11,2,0,0,0,1,0,97,50,9,1,10/2/2020,47,340129,Lake Norman Regional Medical Center,MHPC
29,0,6,16,17,8,0,3,2,1,0,62,52,6,1,10/29/2020,10,340068,Columbus Regional Healthcare System,SHPR
25,3,8,14,14,3,0,3,0,1,0,88,61,5,0,10/19/2020,27,340144,Davis Regional MC,THPC
32,32,181,110,134,14,1,6,14,2,32,430,345,149,24,10/7/2020,85,340114,UNC Rex Hospital,MCRHC
10,0,8,9,9,1,0,3,0,1,0,78,70,8,0,10/9/2020,8,340099,Vidant Roanoke Chowan Hospital,EHPC
0,0,10,4,7,4,0,5,1,4,0,78,55,10,3,10/16/2020,23,340003,Northern Regional Hospital,THPC
18,0,14,31,37,15,0,4,15,1,6,176,131,14,6,10/14/2020,45,340130,Atrium Health - Union,MHPC
43,26,135,242,295,25,0,10,18,1,32,779,646,109,53,10/12/2020,133,340061,UNC Medical Center,MCRHC
12,6,10,10,12,1,0,5,0,1,0,96,71,4,2,10/25/2020,25,340051,Watauga Medical Center,THPC
12,2,10,8,12,0,1,4,0,0,0,96,94,8,4,10/19/2020,2,340051,Watauga Medical Center,THPC
20,2,16,11,16,25,0,7,0,0,0,138,134,14,5,10/19/2020,4,340126,Wilson Medical Center,EHPC
44,1,6,4,7,0,0,2,1,0,0,88,58,5,3,10/28/2020,30,340023,Park Ridge Health (Advent Health),MAHPC
63,2,17,27,43,17,0,0,1,3,2,249,133,15,16,10/15/2020,116,340010,Wayne UNC Health Care,EHPC
65,1,12,15,17,8,0,3,2,0,1,170,155,11,2,10/2/2020,15,340173,Wake Medical Center Cary,CapRAC
5,1,9,10,12,0,0,1,0,0,0,95,68,8,2,10/25/2020,27,340016,Harris Hosptial,MAHPC
7,0,0,4,4,0,0,0,0,0,0,25,7,0,0,10/20/2020,18,341327,Dosher Memorial Hospital,SHPR
0,5,8,7,8,2,0,0,0,0,0,112,43,3,1,10/1/2020,69,340064,WFBMC - Wilkes Regional MC,THPC
0,0,1,4,4,4,0,0,3,0,1,25,24,1,0,10/28/2020,1,340087,McDowell Hospital,MAHPC
22,9,59,31,34,17,0,7,0,0,5,177,120,50,3,10/19/2020,57,340090,Johnston UNC Health Care,CapRAC
58,9,19,6,9,7,0,7,0,2,0,86,37,10,3,10/30/2020,49,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
35,2,16,19,26,18,0,6,4,1,3,200,130,14,7,10/2/2020,70,340143,Catawba Valley Medical Center,THPC
10,2,10,16,16,4,0,0,5,0,2,84,54,8,0,10/2/2020,30,340119,Atrium Health - Stanly,MHPC
6,6,10,6,9,8,0,5,0,3,0,96,62,4,3,10/4/2020,34,340051,Watauga Medical Center,THPC
2,1,12,23,26,5,0,0,2,0,2,86,47,11,3,10/3/2020,39,340041,UNC- Caldwell Memorial Hospital,THPC
29,2,8,15,15,5,0,0,0,2,0,81,53,6,0,10/8/2020,28,340097,Hugh Chatham Memorial Hospital,THPC
18,10,20,20,22,5,0,0,11,1,1,220,118,10,2,10/24/2020,102,340070,Alamance Regional Medical Center,MCRHC
281,1,48,104,187,22,0,3,7,3,1,827,686,47,83,10/14/2020,141,340053,Novant Health - Presbyterian,MHPC
21,3,20,6,10,2,0,0,5,0,1,154,116,17,4,10/5/2020,38,340091,Cone Health Wesley Long Hospital,THPC
58,2,19,8,9,10,0,9,0,1,0,83,63,17,1,10/6/2020,20,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
6,0,0,10,10,1,0,0,7,0,3,59,25,0,0,10/12/2020,34,340037,Atrium Health - Kings Mountain,MHPC
65,1,12,15,17,8,0,4,0,1,4,170,153,11,2,10/8/2020,17,340173,Wake Medical Center Cary,CapRAC
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10/16/2020,0,341316,Highlands Cashiers Hospital,MAHPC
0,0,0,2,2,3,0,0,2,0,2,32,8,0,0,10/3/2020,24,341329,Blue Ridge Regional Hospital,MAHPC
0,13,18,0,7,0,0,0,1,0,0,113,40,5,7,10/23/2020,73,340096,WFBMC - Lexington MC,THPC
64,2,15,21,25,1,0,0,0,0,0,179,135,13,4,10/10/2020,44,340073,Duke Raleigh Hospital,DHPC
0,5,6,2,2,0,0,0,0,0,0,19,6,1,0,10/24/2020,13,341322,St. Lukes Hospital,MAHPC
57,5,12,10,10,1,0,0,5,0,0,53,36,7,0,10/19/2020,17,340091,Cone Health Annie Penn Hospital,THPC
10,3,18,34,43,19,4,9,24,1,10,203,127,15,9,10/16/2020,76,340021,Atrium Health - Cleveland,MHPC
7,0,0,4,4,0,0,0,0,0,0,18,18,0,0,10/22/2020,0,341307,Pender Memorial Hospital,SHPR
44,9,14,8,9,4,0,1,0,0,0,163,83,5,1,10/5/2020,80,340151,Vidant - North,EHPC
37,8,12,10,14,0,0,1,2,0,0,142,134,4,4,10/31/2020,8,340042,Onslow Memorial Hospital,EHPC
7,0,0,4,4,0,0,0,0,0,0,25,13,0,0,10/24/2020,12,341327,Dosher Memorial Hospital,SHPR
57,4,12,9,10,1,0,0,3,1,1,53,35,8,1,10/13/2020,18,340091,Cone Health Annie Penn Hospital,THPC
177,31,125,47,105,38,1,16,5,2,0,925,640,94,58,10/29/2020,285,340047,Wake Forest Baptist MC – Winston Campus,THPC
0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,10/22/2020,0,341323,Cannon Hospital,MAHPC
13,15,20,29,29,0,0,0,30,0,11,219,126,5,0,10/31/2020,93,340113,Atrium Health - Main,MHPC
0,5,14,19,26,1,1,4,1,1,2,261,111,9,7,10/15/2020,150,340027,UNC Lenoir Hospital,EHPC
10,4,18,38,43,19,0,4,30,0,13,203,122,14,5,10/3/2020,81,340021,Atrium Health - Cleveland,MHPC
0,0,10,4,7,0,0,2,6,0,2,78,49,10,3,10/7/2020,29,340003,Northern Regional Hospital,THPC
0,6,10,9,9,6,0,1,7,0,7,125,43,4,0,10/22/2020,82,340013,Rutherford Regional Hospital,MAHPC
281,8,48,106,187,24,0,5,5,2,0,827,663,40,81,10/3/2020,164,340053,Novant Health - Presbyterian,MHPC
0,0,10,5,7,2,0,4,7,2,1,78,64,10,2,10/27/2020,14,340003,Northern Regional Hospital,THPC
11,1,10,16,18,6,0,3,1,1,0,54,53,9,2,10/1/2020,1,340186,Vidant Beaufort Hospital,EHPC
44,12,121,94,188,37,0,14,83,5,31,871,778,109,94,10/15/2020,93,340113,Atrium Health - Main,MHPC
0,4,4,4,4,4,0,0,0,2,1,49,16,0,0,10/15/2020,33,340188,Cape Fear Valley Hoke Hospital,MCRHC
34,17,66,41,57,15,0,3,29,1,5,594,420,49,16,10/17/2020,174,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
48,4,21,26,36,20,0,4,0,4,4,273,220,17,10,10/13/2020,53,340155,Duke Regional Hospital,DHPC
24,0,8,33,33,8,0,0,13,1,4,126,109,8,0,10/14/2020,17,340166,Atrium Health - University,MHPC
60,27,120,102,181,64,0,13,0,6,0,888,804,93,79,10/18/2020,84,340040,Vidant Medical Center,EHPC
4,1,8,6,6,5,0,1,1,0,0,53,46,7,0,10/29/2020,7,340115,FirstHealth Richmond Memorial Hospital,MCRHC
30,3,8,11,12,3,0,0,0,0,0,77,51,5,1,10/15/2020,26,340132,Maria Parham Medical Center,DHPC
31,0,4,24,24,7,0,0,1,4,1,66,59,4,0,10/21/2020,7,340014,Novant Health - Forsyth MC,THPC
429,23,62,83,120,29,0,10,6,4,20,764,560,39,37,10/12/2020,204,340141,New Hanover Regional MC,SHPR
177,34,126,49,105,30,0,11,4,4,1,941,615,92,56,10/6/2020,326,340047,Wake Forest Baptist MC – Winston Campus,THPC
,,,,,,,,,,,,,,,10/10/2020,,100,Durham VA,DHPC
29,2,8,15,15,3,0,1,0,1,0,81,55,6,0,10/12/2020,26,340097,Hugh Chatham Memorial Hospital,THPC
30,5,112,119,201,66,2,27,13,8,1,1037,740,107,82,10/31/2020,297,340014,Novant Health - Forsyth MC,THPC
41,11,22,33,37,7,0,1,1,0,1,148,70,11,4,10/14/2020,78,340017,Pardee Hospital,MAHPC
