Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital,Coalition
51,9,16,13,15,0,0,2,7,0,4,154,103,7,2,10/12/2020,51,340039,Iredell Health System,THPC
10,1,10,14,16,6,0,0,11,1,4,84,55,9,2,10/14/2020,29,340119,Atrium Health - Stanly,MHPC
11,0,0,2,2,0,0,0,0,0,0,12,5,0,0,10/7/2020,7,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
12,0,4,3,4,6,0,2,0,0,0,29,23,4,1,10/8/2020,6,341318,Vidant Chowan Hospital,EHPC
72,0,8,4,6,0,0,2,0,0,0,53,53,8,2,10/4/2020,0,340020,Central Carolina Hospital,CapRAC
18,0,14,32,37,12,0,6,30,0,13,176,117,14,5,10/11/2020,59,340130,Atrium Health - Union,MHPC
58,9,19,9,9,8,1,8,1,0,0,82,75,10,0,9/13/2020,7,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
58,8,19,8,9,7,0,7,0,0,0,81,65,11,1,9/4/2020,16,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
26,3,10,0,0,0,0,1,4,0,0,110,64,7,0,9/30/2020,46,340109,Sentara Albemarle Medical Center,EHPC
22,1,20,10,10,1,0,0,10,0,3,153,135,19,0,10/15/2020,18,340091,Cone Health Wesley Long Hospital,THPC
37,6,12,6,14,0,1,1,4,0,0,142,132,6,8,9/4/2020,10,340042,Onslow Memorial Hospital,EHPC
12,0,4,3,4,9,0,4,0,0,0,29,22,4,1,10/13/2020,7,341318,Vidant Chowan Hospital,EHPC
10,3,6,8,8,0,0,1,3,1,0,48,41,3,0,9/25/2020,7,340127,Granville Health System,DHPC
72,0,8,4,6,1,0,1,0,1,0,53,53,8,2,9/23/2020,0,340020,Central Carolina Hospital,CapRAC
16,0,0,3,3,2,0,0,1,1,0,55,33,0,0,10/10/2020,22,340069,Wake Medical Center,CapRAC
14,13,74,35,57,11,0,3,31,1,1,614,455,61,22,10/2/2020,159,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
0,4,4,3,3,2,0,0,0,0,0,27,17,0,0,9/6/2020,10,341315,Cape Fear Valley Bladen Hospital,SHPR
,,,,,,,,,,,,,,,9/8/2020,,341304,Vidant Bertie Hospital,EHPC
0,0,0,2,2,3,0,0,1,1,2,32,10,0,0,9/12/2020,22,341329,Blue Ridge Regional Hospital,MAHPC
29,3,8,15,15,5,0,0,3,0,1,81,60,5,0,9/10/2020,21,340097,Hugh Chatham Memorial Hospital,THPC
0,0,0,2,2,1,0,0,3,0,1,15,3,0,0,9/12/2020,12,340084,Atrium Health - Anson,MHPC
16,-2,8,12,13,12,0,4,0,0,0,104,99,10,1,9/24/2020,5,340008,Scotland Health Care System,MHPC
0,4,4,4,4,5,0,1,0,0,2,29,19,0,0,8/26/2020,10,341318,Vidant Chowan Hospital,EHPC
,,,,,,,,,,,,,,,9/17/2020,,340099,Vidant Roanoke Chowan Hospital,EHPC
429,35,62,94,120,18,0,6,4,2,13,764,525,27,26,9/27/2020,239,340141,New Hanover Regional MC,SHPR
23,3,23,11,22,16,0,9,3,2,2,281,176,20,11,9/1/2020,105,340004,WFBMC- High Point MC,THPC
36,6,66,33,57,13,0,3,30,4,5,592,457,60,24,10/16/2020,135,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
16,0,8,12,13,12,0,3,0,2,0,104,78,8,1,9/13/2020,26,340008,Scotland Health Care System,MHPC
25,5,8,10,14,0,0,0,0,0,0,88,67,3,4,9/5/2020,21,340144,Davis Regional MC,THPC
12,0,4,4,4,4,0,1,0,0,0,29,21,4,0,9/28/2020,8,341318,Vidant Chowan Hospital,EHPC
177,32,127,56,107,11,0,7,8,2,1,926,617,95,51,9/9/2020,309,340047,Wake Forest Baptist MC – Winston Campus,THPC
0,29,91,62,91,30,1,4,25,4,42,712,575,62,29,8/27/2020,137,340002,Mission Health Hospital,MAHPC
11,3,13,22,25,3,0,0,2,0,1,155,84,10,3,9/24/2020,71,340085,Novant Health - Thomasville MC,THPC
54,1,8,4,5,0,1,3,1,0,3,108,103,7,1,8/28/2020,5,340060,UNC Rockingham Hospital,THPC
0,0,0,15,15,0,0,0,0,0,0,38,8,0,0,9/27/2020,30,340148,Novant Health - Medical Park Hospital,THPC
65,0,12,13,17,8,1,3,1,0,2,170,153,12,4,10/1/2020,17,340173,Wake Medical Center Cary,CapRAC
58,6,19,6,9,11,0,10,0,2,0,86,57,13,3,10/16/2020,29,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
0,0,5,0,8,6,0,2,3,1,3,111,44,5,8,9/17/2020,67,340064,WFBMC - Wilkes Regional MC,THPC
0,4,4,3,3,2,0,0,1,0,0,27,16,0,0,9/25/2020,11,341315,Cape Fear Valley Bladen Hospital,SHPR
0,3,10,7,7,0,1,0,18,0,3,78,43,7,0,9/18/2020,35,340003,Northern Regional Hospital,THPC
2,2,12,22,26,2,0,0,0,1,6,86,58,10,4,9/30/2020,28,340041,UNC- Caldwell Memorial Hospital,THPC
16,0,4,6,6,0,0,0,1,0,2,20,19,4,0,10/1/2020,1,341311,UNC Chatham Hospital,MCRHC
43,7,134,228,295,33,1,13,0,7,22,781,720,127,67,10/16/2020,61,340061,UNC Medical Center,MCRHC
20,5,23,49,56,18,0,4,0,3,0,309,226,18,7,9/22/2020,83,340131,CarolinaEast Medical Center,EHPC
0,0,10,7,7,3,0,4,1,3,0,78,46,10,0,9/2/2020,32,340003,Northern Regional Hospital,THPC
,,,,,,,,,,,,,,,9/6/2020,,102,Womack Army Medical Center,MCRHC
152,7,76,90,126,31,1,10,7,0,3,577,482,69,36,9/5/2020,95,340069,Wake Medical Center,CapRAC
10,5,7,17,18,1,0,0,2,1,0,77,30,2,1,10/6/2020,47,340190,Novant Health - Mint Hill,THPC
29,1,8,15,15,5,0,2,0,0,0,81,51,7,0,9/30/2020,30,340097,Hugh Chatham Memorial Hospital,THPC
20,3,16,14,16,22,0,3,0,0,0,138,134,13,2,10/14/2020,4,340126,Wilson Medical Center,EHPC
5,0,0,5,5,0,0,0,0,0,1,54,43,0,0,10/3/2020,11,340123,Randolph Hospital,THPC
44,10,121,95,189,34,1,12,92,5,30,871,734,111,94,10/5/2020,137,340113,Atrium Health - Main,MHPC
18,2,14,23,31,14,1,8,27,0,11,176,112,12,8,8/31/2020,64,340130,Atrium Health - Union,MHPC
63,4,17,34,43,20,0,0,2,1,3,249,132,13,9,10/9/2020,117,340010,Wayne UNC Health Care,EHPC
53,6,16,34,43,20,0,4,5,1,1,248,124,10,9,9/10/2020,124,340010,Wayne UNC Health Care,EHPC
0,7,18,0,9,0,0,0,1,0,0,113,47,11,9,9/27/2020,66,340096,WFBMC - Lexington MC,THPC
18,0,6,5,7,3,0,4,0,0,0,18,13,6,2,9/26/2020,5,340133,Martin General Hospital,EHPC
0,26,91,59,91,21,0,6,16,3,42,717,550,65,32,8/29/2020,167,340002,Mission Health Hospital,MAHPC
15,9,74,27,57,15,0,2,30,0,0,613,450,65,30,9/18/2020,163,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
5,0,0,5,5,0,0,0,1,0,0,54,39,0,0,9/7/2020,15,340123,Randolph Hospital,THPC
,,,,,,,,,,,,,,,9/13/2020,,340159,Person Memorial Hospital,DHPC
7,0,0,4,4,0,0,0,2,0,0,18,13,0,0,10/3/2020,5,341307,Pender Memorial Hospital,SHPR
44,13,134,220,295,27,0,15,18,1,39,782,671,121,75,9/10/2020,111,340061,UNC Medical Center,MCRHC
26,2,9,4,7,0,0,0,0,0,0,55,40,7,3,8/31/2020,15,340016,Harris Hosptial,MAHPC
8,0,0,4,4,2,0,0,0,2,2,17,11,0,0,8/27/2020,6,341324,The Outer Banks Hospital,EHPC
44,17,135,236,295,25,0,12,28,3,45,782,633,118,59,10/7/2020,149,340061,UNC Medical Center,MCRHC
,,,,,,,,,,,,,,,9/3/2020,,341320,Alleghany Memorial Hospital,THPC
9,48,181,115,134,21,0,6,15,2,31,461,327,133,19,8/30/2020,134,340114,UNC Rex Hospital,MCRHC
16,1,4,6,6,2,0,0,1,0,0,20,13,3,0,10/15/2020,7,341311,UNC Chatham Hospital,MCRHC
57,2,12,10,10,0,0,0,1,0,0,53,39,10,0,9/17/2020,14,340091,Cone Health Annie Penn Hospital,THPC
41,16,22,36,37,4,1,0,4,1,2,148,71,6,1,9/2/2020,77,340017,Pardee Hospital,MAHPC
2,3,12,24,26,5,0,2,7,0,4,86,62,9,2,9/22/2020,24,340041,UNC- Caldwell Memorial Hospital,THPC
0,0,0,2,2,1,0,0,1,0,0,6,4,0,0,9/14/2020,2,341320,Alleghany Memorial Hospital,THPC
13,0,0,0,0,0,0,0,0,0,0,18,0,0,0,9/1/2020,18,340156,Cherokee Indian Hospital,MAHPC
277,14,97,69,130,17,0,9,2,3,4,858,786,83,61,9/18/2020,72,340030,Duke University Hospital,DHPC
29,1,5,25,26,4,0,0,2,0,1,114,83,4,1,9/10/2020,31,340158,Novant Health - Brunswick MC,SHPR
60,27,120,67,120,53,0,7,0,2,38,888,801,93,53,9/7/2020,87,340040,Vidant Medical Center,EHPC
152,11,76,98,126,32,0,12,6,2,5,575,459,65,28,8/30/2020,116,340069,Wake Medical Center,CapRAC
10,3,18,35,43,24,0,8,28,0,9,203,138,15,8,10/15/2020,65,340021,Atrium Health - Cleveland,MHPC
51,16,16,9,15,10,0,7,1,0,0,148,74,0,6,9/21/2020,74,340039,Iredell Health System,THPC
7,0,0,4,4,0,0,0,0,0,0,25,7,0,0,10/13/2020,18,341327,Dosher Memorial Hospital,SHPR
18,6,20,20,22,1,0,0,16,0,1,220,142,14,2,8/28/2020,78,340070,Alamance Regional Medical Center,MCRHC
0,6,10,7,9,10,0,3,7,1,7,125,47,4,2,9/20/2020,78,340013,Rutherford Regional Hospital,MAHPC
57,1,12,10,10,2,0,0,4,0,2,53,39,11,0,10/2/2020,14,340091,Cone Health Annie Penn Hospital,THPC
,,,,,,,,,,,,,,,9/7/2020,,340159,Person Memorial Hospital,DHPC
10,1,18,29,35,13,0,4,22,2,5,203,138,17,6,9/15/2020,65,340021,Atrium Health - Cleveland,MHPC
0,5,14,18,26,1,0,3,0,1,0,261,109,9,8,9/27/2020,152,340027,UNC Lenoir Hospital,EHPC
,,,,,,,,,,,,,,,9/10/2020,,340023,Park Ridge Health (Advent Health),MAHPC
4,2,8,6,6,5,0,3,1,2,1,53,36,6,0,9/8/2020,17,340115,FirstHealth Richmond Memorial Hospital,MCRHC
,,,,,,,,,,,,,,,10/7/2020,,101,Naval Medical Center Camp Lejeune,SHPR
30,2,8,9,12,5,1,2,0,1,0,77,57,6,3,9/16/2020,20,340132,Maria Parham Medical Center,DHPC
25,3,8,14,14,1,0,1,0,1,0,88,57,5,0,10/15/2020,31,340144,Davis Regional MC,THPC
,,,,,,,,,,,,,,,9/7/2020,,340037,Atrium Health - Kings Mountain,MHPC
16,1,4,6,6,2,0,2,1,0,1,20,16,3,0,8/26/2020,4,341311,UNC Chatham Hospital,MCRHC
12,0,0,2,2,0,0,0,0,0,0,6,4,0,0,9/13/2020,2,341304,Vidant Bertie Hospital,EHPC
,,,,,,,,,,,,,,,9/7/2020,,102,Womack Army Medical Center,MCRHC
,,,,,,,,,,,,,,,9/6/2020,,341325,Ashe Memorial Hospital,THPC
23,0,8,4,9,13,0,4,1,0,0,60,50,8,5,9/13/2020,10,340107,Vidant Edgecombe Hospital,EHPC
56,3,8,10,10,3,0,0,0,0,0,68,20,5,0,10/4/2020,48,340024,Sampson Regional Medical Center,MCRHC
11,0,0,2,2,0,0,0,0,0,0,12,3,0,0,8/30/2020,9,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
,,,,,,,,,,,,,,,9/14/2020,,340024,Sampson Regional Medical Center,MCRHC
0,11,38,21,27,29,0,6,3,3,0,331,291,27,6,9/17/2020,40,340115,FirstHealth Moore Regional Hospital,MCRHC
24,0,8,30,33,0,0,0,14,0,5,126,93,8,3,9/28/2020,33,340166,Atrium Health - University,MHPC
,,,,,,,,,,,,,,,8/26/2020,,340115,FirstHealth Richmond Memorial Hospital,MCRHC
22,25,59,29,34,6,0,5,3,1,13,177,92,34,5,10/2/2020,85,340090,Johnston UNC Health Care,CapRAC
0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,8/30/2020,12,340156,Cherokee Indian Hospital,MAHPC
0,4,4,4,4,1,0,0,2,0,0,49,15,0,0,9/10/2020,34,340188,Cape Fear Valley Hoke Hospital,MCRHC
29,3,5,26,26,2,0,0,1,2,0,114,84,2,0,9/30/2020,30,340158,Novant Health - Brunswick MC,SHPR
5,0,0,0,1,0,0,0,1,0,1,12,10,0,1,9/18/2020,2,341314,Washington Regional Medical Center,EHPC
5,0,0,5,5,0,0,0,0,1,1,54,37,0,0,9/4/2020,17,340123,Randolph Hospital,THPC
5,0,0,5,5,0,0,0,0,0,0,54,36,0,0,10/10/2020,18,340123,Randolph Hospital,THPC
24,0,8,31,32,1,0,0,6,1,1,126,98,8,1,9/24/2020,28,340166,Atrium Health - University,MHPC
105,0,9,12,17,37,0,8,2,0,0,38,38,9,5,9/23/2020,0,340091,Women's Hospital,THPC
54,1,8,4,5,0,1,1,3,0,3,108,88,7,1,8/27/2020,20,340060,UNC Rockingham Hospital,THPC
,,,,,,,,,,,,,,,8/31/2020,,340013,Rutherford Regional Hospital,MAHPC
429,28,62,87,120,32,2,9,3,3,21,764,612,34,33,10/16/2020,152,340141,New Hanover Regional MC,SHPR
10,2,7,17,18,1,0,0,3,0,0,77,35,5,1,9/15/2020,42,340190,Novant Health - Mint Hill,THPC
18,7,20,18,22,2,0,1,6,0,2,220,131,13,4,10/12/2020,89,340070,Alamance Regional Medical Center,MCRHC
15,8,9,8,9,8,0,4,0,2,7,34,33,1,1,9/1/2020,1,340120,Vidant Duplin Hospital,EHPC
195,28,116,59,94,55,0,11,41,5,8,861,603,88,35,9/2/2020,258,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
6,0,10,4,9,5,0,5,0,0,0,96,84,10,5,9/24/2020,12,340051,Watauga Medical Center,THPC
41,16,22,37,37,4,1,1,4,0,5,148,56,6,0,8/29/2020,92,340017,Pardee Hospital,MAHPC
58,8,19,9,9,8,0,8,0,0,0,86,64,11,0,9/25/2020,22,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9/14/2020,0,341316,Highlands Cashiers Hospital,MAHPC
277,0,97,61,130,17,1,6,1,3,0,848,832,97,69,8/27/2020,16,340030,Duke University Hospital,DHPC
16,4,10,12,12,1,0,0,0,0,0,110,74,6,0,10/6/2020,36,340184,Haywood Hospital,MAHPC
5,0,0,0,1,0,0,0,0,0,0,12,10,0,1,9/8/2020,2,341314,Washington Regional Medical Center,EHPC
51,1,16,11,15,1,0,1,6,1,3,154,118,15,4,10/7/2020,36,340039,Iredell Health System,THPC
7,6,9,10,10,1,0,0,5,0,1,34,17,3,0,10/2/2020,17,340120,Vidant Duplin Hospital,EHPC
12,0,4,4,4,7,0,3,0,1,0,29,21,4,0,9/18/2020,8,341318,Vidant Chowan Hospital,EHPC
31,7,21,36,45,24,0,6,11,3,8,277,142,14,9,9/8/2020,135,340147,Nash Health Care System,EHPC
23,3,20,9,10,0,0,0,2,0,0,152,119,17,1,9/20/2020,33,340091,Cone Health Wesley Long Hospital,THPC
117,0,5,15,17,28,0,5,0,0,0,26,26,5,2,9/10/2020,0,340091,Women's Hospital,THPC
,,,,,,,,,,,,,,,9/27/2020,,340023,Park Ridge Health (Advent Health),MAHPC
26,3,10,0,0,0,0,3,2,0,0,110,82,7,0,9/10/2020,28,340109,Sentara Albemarle Medical Center,EHPC
11,0,0,2,2,0,0,0,0,0,0,12,6,0,0,10/16/2020,6,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
11,6,13,22,25,1,0,0,0,1,0,155,74,7,3,9/5/2020,81,340085,Novant Health - Thomasville MC,THPC
0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,10/6/2020,2,341323,Cannon Hospital,MAHPC
23,4,26,13,22,10,0,6,0,3,0,289,194,22,9,9/29/2020,95,340004,WFBMC- High Point MC,THPC
12,0,6,10,12,0,0,2,6,0,2,62,39,6,2,9/7/2020,23,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
277,5,97,69,130,19,0,12,0,2,1,856,831,92,61,9/15/2020,25,340030,Duke University Hospital,DHPC
64,5,15,23,25,12,0,1,0,1,0,177,139,10,2,8/28/2020,38,340073,Duke Raleigh Hospital,DHPC
429,34,62,95,120,14,0,4,1,1,14,764,530,28,25,9/21/2020,234,340141,New Hanover Regional MC,SHPR
429,30,62,88,120,23,2,4,3,0,17,764,580,32,32,9/18/2020,184,340141,New Hanover Regional MC,SHPR
29,1,5,26,26,8,0,1,4,2,1,114,83,4,0,10/7/2020,31,340158,Novant Health - Brunswick MC,SHPR
32,52,181,112,134,14,0,6,16,1,29,432,312,129,22,9/25/2020,120,340114,UNC Rex Hospital,MCRHC
0,0,0,0,0,0,0,0,0,0,0,42,22,0,0,9/8/2020,20,340187,WFBMC- Davie MC,THPC
9,58,181,121,134,16,0,4,16,2,37,461,312,123,13,9/7/2020,149,340114,UNC Rex Hospital,MCRHC
,,,,,,,,,,,,,,,9/26/2020,,100,Durham VA,DHPC
0,0,1,3,4,6,0,0,2,1,1,25,21,1,1,10/10/2020,4,340087,McDowell Hospital,MAHPC
20,4,10,12,12,3,0,3,0,0,0,40,29,6,0,9/13/2020,11,340142,Carteret General Hospital,EHPC
29,16,66,33,57,15,0,1,29,3,1,599,401,50,24,10/12/2020,198,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
6,0,0,10,10,0,0,0,4,0,2,59,30,0,0,9/25/2020,29,340037,Atrium Health - Kings Mountain,MHPC
0,1,4,4,4,8,0,0,0,0,0,29,19,3,0,9/7/2020,10,341318,Vidant Chowan Hospital,EHPC
11,3,13,19,25,2,0,0,1,0,0,155,95,10,6,9/16/2020,60,340085,Novant Health - Thomasville MC,THPC
18,2,6,5,7,6,0,1,0,0,1,18,18,4,2,10/16/2020,0,340133,Martin General Hospital,EHPC
54,2,8,5,5,1,0,0,1,0,1,108,82,6,0,8/26/2020,26,340060,UNC Rockingham Hospital,THPC
44,8,14,8,9,6,0,3,0,0,0,163,81,6,1,10/1/2020,82,340151,Vidant - North,EHPC
7,0,0,4,4,0,0,0,2,0,2,25,7,0,0,9/21/2020,18,341327,Dosher Memorial Hospital,SHPR
16,0,7,13,13,26,0,3,0,4,0,97,91,7,0,8/30/2020,6,340008,Scotland Health Care System,MHPC
24,2,20,5,10,0,0,0,6,0,0,151,122,18,5,9/14/2020,29,340091,Cone Health Wesley Long Hospital,THPC
429,27,62,93,120,36,2,8,2,2,19,764,604,35,27,10/15/2020,160,340141,New Hanover Regional MC,SHPR
10,3,18,39,43,13,0,2,25,2,7,203,133,15,4,9/25/2020,70,340021,Atrium Health - Cleveland,MHPC
,,,,,,,,,,,,,,,9/1/2020,,340069,Wake Medical Center,CapRAC
0,6,6,2,2,0,0,0,0,0,0,25,6,0,0,9/6/2020,19,341322,St. Lukes Hospital,MAHPC
0,0,1,4,4,3,0,0,1,0,1,25,18,1,0,9/26/2020,7,340087,McDowell Hospital,MAHPC
0,1,10,7,7,0,0,2,2,2,2,78,51,9,0,10/2/2020,27,340003,Northern Regional Hospital,THPC
0,0,0,2,2,2,0,0,3,1,0,15,10,0,0,10/3/2020,5,340084,Atrium Health - Anson,MHPC
13,10,20,23,29,1,0,0,26,0,8,219,137,10,6,10/6/2020,82,340113,Atrium Health - Main,MHPC
10,14,74,37,57,9,1,1,27,1,3,618,454,60,20,10/8/2020,164,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
29,0,5,0,26,4,0,0,1,1,0,114,81,5,26,8/26/2020,33,340158,Novant Health - Brunswick MC,SHPR
25,12,24,20,24,11,0,4,0,1,0,204,128,12,4,9/7/2020,76,340116,Frye Regional MC,THPC
12,7,27,27,39,28,0,3,8,2,9,419,346,20,12,10/3/2020,73,340032,CaroMont Health,MHPC
7,0,0,4,4,0,0,0,1,0,1,18,10,0,0,8/26/2020,8,341327,Dosher Memorial Hospital,SHPR
10,1,6,8,8,2,0,2,3,0,0,42,28,5,0,8/30/2020,14,340127,Granville Health System,DHPC
,,,,,,,,,,,,,,,9/3/2020,,340020,Central Carolina Hospital,CapRAC
0,4,9,3,3,1,0,0,2,0,1,30,16,5,0,10/4/2020,14,341319,Transylvania Regional Hospital,MAHPC
5,1,9,8,12,0,0,1,0,0,0,95,94,8,4,9/12/2020,1,340016,Harris Hosptial,MAHPC
18,0,6,5,7,7,0,3,2,3,0,18,18,6,2,10/1/2020,0,340133,Martin General Hospital,EHPC
0,26,91,63,91,20,2,4,19,0,29,712,562,65,28,8/30/2020,150,340002,Mission Health Hospital,MAHPC
18,2,6,6,7,1,0,1,1,1,2,18,16,4,1,9/10/2020,2,340133,Martin General Hospital,EHPC
12,0,6,11,12,0,0,3,1,0,1,71,53,6,1,9/22/2020,18,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
7,0,0,4,4,0,0,0,0,0,0,18,13,0,0,10/6/2020,5,341307,Pender Memorial Hospital,SHPR
,,,,,,,,,,,,,,,9/17/2020,,340159,Person Memorial Hospital,DHPC
7,1,9,7,10,4,0,3,3,0,4,34,33,8,3,9/18/2020,1,340120,Vidant Duplin Hospital,EHPC
35,3,16,19,26,14,0,6,0,3,0,200,119,13,7,9/25/2020,81,340143,Catawba Valley Medical Center,THPC
24,2,8,29,29,0,0,0,15,0,6,135,101,6,0,8/29/2020,34,340166,Atrium Health - University,MHPC
32,3,6,4,4,6,0,3,1,0,0,0,-35,3,0,9/11/2020,35,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
6,6,6,10,10,0,0,0,4,0,1,59,26,0,0,9/12/2020,33,340037,Atrium Health - Kings Mountain,MHPC
0,8,10,7,7,0,0,0,3,0,1,78,36,2,0,9/20/2020,42,340003,Northern Regional Hospital,THPC
10,2,7,0,18,2,0,1,1,1,1,77,39,5,18,9/2/2020,38,340190,Novant Health - Mint Hill,THPC
12,0,4,4,4,5,0,0,0,2,1,29,21,4,0,10/3/2020,8,341318,Vidant Chowan Hospital,EHPC
57,6,12,10,10,2,0,0,1,0,0,53,40,6,0,9/11/2020,13,340091,Cone Health Annie Penn Hospital,THPC
53,6,16,32,43,20,0,6,2,2,1,248,119,10,11,9/15/2020,129,340010,Wayne UNC Health Care,EHPC
0,0,0,0,0,0,0,0,0,0,0,42,18,0,0,9/4/2020,24,340187,WFBMC- Davie MC,THPC
0,6,25,22,27,39,0,7,0,27,19,295,189,19,5,9/15/2020,106,340050,Southeastern Regional Medical Center,DHPC
0,5,10,5,9,1,0,5,9,0,8,125,42,5,4,9/22/2020,83,340013,Rutherford Regional Hospital,MAHPC
29,1,8,15,15,7,0,2,0,1,0,81,60,7,0,9/24/2020,21,340097,Hugh Chatham Memorial Hospital,THPC
7,0,0,4,4,1,0,0,0,0,1,18,16,0,0,8/26/2020,2,341307,Pender Memorial Hospital,SHPR
,,,,,,,,,,,,,,,9/20/2020,,101,Naval Medical Center Camp Lejeune,SHPR
,,,,,,,,,,,,,,,9/8/2020,,341325,Ashe Memorial Hospital,THPC
16,1,4,6,6,0,0,0,0,0,0,20,17,3,0,9/30/2020,3,341311,UNC Chatham Hospital,MCRHC
,,,,,,,,,,,,,,,10/16/2020,,340116,Frye Regional MC,THPC
0,2,8,25,35,0,0,0,0,0,0,93,61,6,10,9/21/2020,32,342014,Highsmith-Rainey Specialty Hospital,MCRHC
9,44,181,113,134,19,0,8,23,4,43,461,345,137,21,8/26/2020,116,340114,UNC Rex Hospital,MCRHC
,,,,,,,,,,,,,,,9/1/2020,,340142,Carteret General Hospital,EHPC
29,4,5,25,26,1,0,0,0,0,0,114,66,1,1,9/26/2020,48,340158,Novant Health - Brunswick MC,SHPR
31,0,4,24,24,6,0,1,1,1,0,66,51,4,0,10/6/2020,15,340014,Novant Health - Forsyth MC,THPC
16,0,8,9,13,18,0,6,0,5,0,104,83,8,4,10/2/2020,21,340008,Scotland Health Care System,MHPC
49,1,8,20,21,9,0,1,1,4,0,264,164,7,1,10/2/2020,100,340183,Novant Health - Huntersville,MHPC
0,17,38,21,27,31,0,5,1,7,0,331,300,21,6,9/28/2020,31,340115,FirstHealth Moore Regional Hospital,MCRHC
36,2,10,16,18,3,0,1,17,0,0,113,71,8,2,8/31/2020,42,340145,Atrium Health - Lincoln,MHPC
8,0,0,5,5,0,0,0,0,0,0,17,7,0,0,10/10/2020,10,341324,The Outer Banks Hospital,EHPC
59,0,10,34,39,6,0,1,2,2,1,246,172,10,5,9/29/2020,74,340171,Novant Health - Matthews,MHPC
49,2,8,20,21,0,0,0,0,0,0,264,148,6,1,8/30/2020,116,340183,Novant Health - Huntersville,MHPC
8,0,0,5,5,0,0,0,1,0,0,17,12,0,0,9/21/2020,5,341324,The Outer Banks Hospital,EHPC
51,1,16,7,15,16,0,5,3,0,0,154,118,15,8,9/26/2020,36,340039,Iredell Health System,THPC
24,1,20,9,10,5,0,0,13,3,6,151,120,19,1,10/11/2020,31,340091,Cone Health Wesley Long Hospital,THPC
4,1,8,6,6,8,0,3,0,2,2,53,34,7,0,9/17/2020,19,340115,FirstHealth Richmond Memorial Hospital,MCRHC
0,3,8,5,8,5,0,3,1,1,1,115,41,5,3,9/1/2020,74,340064,WFBMC - Wilkes Regional MC,THPC
0,0,1,4,4,4,0,0,0,0,3,25,20,1,0,9/1/2020,5,340087,McDowell Hospital,MAHPC
11,5,13,22,25,1,0,0,4,0,0,155,82,8,3,9/4/2020,73,340085,Novant Health - Thomasville MC,THPC
1,0,0,2,2,0,0,0,0,0,0,17,8,0,0,10/13/2020,9,341305,Swain Hospital,MAHPC
281,9,48,117,187,21,0,3,5,2,1,827,661,39,70,9/25/2020,166,340053,Novant Health - Presbyterian,MHPC
51,1,16,8,15,13,0,7,6,0,0,148,99,15,7,9/16/2020,49,340039,Iredell Health System,THPC
44,3,6,7,7,0,0,1,2,0,0,88,55,3,0,9/30/2020,33,340023,Park Ridge Health (Advent Health),MAHPC
0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,8/31/2020,0,341316,Highlands Cashiers Hospital,MAHPC
0,0,4,4,4,8,0,2,0,1,0,29,21,4,0,9/6/2020,8,341318,Vidant Chowan Hospital,EHPC
18,6,20,16,22,0,0,0,15,0,5,220,138,14,6,8/29/2020,82,340070,Alamance Regional Medical Center,MCRHC
0,0,0,15,15,0,0,0,0,0,0,38,17,0,0,10/3/2020,21,340148,Novant Health - Medical Park Hospital,THPC
12,0,6,11,12,0,0,0,5,0,0,64,52,6,1,10/12/2020,12,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
281,5,48,115,187,17,2,6,9,0,1,827,663,43,72,10/7/2020,164,340053,Novant Health - Presbyterian,MHPC
63,0,0,11,11,0,0,0,0,0,0,25,18,0,0,9/21/2020,7,341325,Ashe Memorial Hospital,THPC
177,34,128,48,105,18,0,4,2,5,0,930,647,94,57,9/29/2020,283,340047,Wake Forest Baptist MC – Winston Campus,THPC
