Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital_name,Coalition
20,4,6,4,4,0,0,0,2,0,0,18,11,2,0,12/18/2020,7,340159,Person Memorial Hospital,DHPC
35,0,13,6,17,81,3,13,1,9,0,81,81,13,11,1/30/2021,0,340091,Women's Hospital,THPC
44,8,14,9,9,16,0,3,0,1,0,163,83,6,0,11/14/2020,80,340151,Vidant - North,EHPC
57,0,20,17,22,23,0,1,9,3,0,205,205,20,5,12/22/2020,0,340070,Alamance Regional Medical Center,MCRHC
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11/5/2020,0,341316,Highlands Cashiers Hospital,MAHPC
4,1,8,5,6,5,0,2,0,2,0,53,39,7,1,11/18/2020,14,340115,FirstHealth Richmond Memorial Hospital,MCRHC
0,5,27,26,47,115,3,8,2,8,7,406,381,22,21,12/28/2020,25,340032,CaroMont Health,MHPC
0,4,9,3,3,7,2,2,1,0,3,30,20,5,0,1/29/2021,10,341319,Transylvania Regional Hospital,MAHPC
0,7,17,8,9,12,0,3,0,3,0,112,48,10,1,12/7/2020,64,340096,WFBMC - Lexington MC,THPC
16,2,4,6,6,1,0,1,0,0,2,20,14,2,0,11/9/2020,6,341311,UNC Chatham Hospital,MCRHC
0,0,6,4,4,8,0,0,0,0,0,31,21,6,0,1/2/2021,10,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
63,1,17,26,43,26,0,2,0,1,3,250,127,16,17,11/18/2020,123,340010,Wayne UNC Health Care,EHPC
18,0,14,32,38,32,0,9,14,1,10,176,147,14,6,12/4/2020,29,340130,Atrium Health - Union,MHPC
13,10,20,19,34,31,1,12,11,1,0,216,149,10,15,1/18/2021,67,340113,Atrium Health - Main,MHPC
16,4,10,11,12,10,0,2,0,0,0,110,65,6,1,12/20/2020,45,340184,Haywood Hospital,MAHPC
16,0,0,3,3,5,0,0,0,0,0,55,38,0,0,11/25/2020,17,340069,Wake Medical Center,CapRAC
54,6,16,23,40,31,0,7,7,6,7,104,75,10,17,1/10/2021,29,340109,Sentara Albemarle Medical Center,EHPC
26,0,6,15,16,23,0,4,0,4,0,62,60,6,1,1/1/2021,2,340068,Columbus Regional Healthcare System,SHPR
32,36,181,116,134,30,1,9,1,4,9,459,353,145,18,11/18/2020,106,340114,UNC Rex Hospital,MCRHC
2,0,12,18,26,39,1,10,2,3,8,89,71,12,8,12/21/2020,18,340041,UNC- Caldwell Memorial Hospital,THPC
12,0,4,2,4,8,1,4,0,0,0,29,27,4,2,12/30/2020,2,341318,Vidant Chowan Hospital,EHPC
0,0,1,4,4,1,0,0,1,0,0,25,22,1,0,11/8/2020,3,340087,McDowell Hospital,MAHPC
0,0,22,36,51,52,2,7,7,8,2,269,162,22,15,12/27/2020,107,340015,Novant Health - Rowan Medical Center,THPC
37,0,12,2,14,41,0,6,0,6,0,142,142,12,12,1/5/2021,0,340042,Onslow Memorial Hospital,EHPC
43,4,20,19,22,1,0,0,24,1,4,195,135,16,3,11/13/2020,60,340070,Alamance Regional Medical Center,MCRHC
59,0,10,27,38,29,1,3,7,4,1,246,176,10,11,1/25/2021,70,340171,Novant Health - Matthews,MHPC
177,11,110,62,127,81,0,26,8,15,3,768,608,99,65,1/4/2021,160,340047,Wake Forest Baptist MC – Winston Campus,THPC
12,0,6,7,12,17,1,5,6,2,3,63,38,6,5,1/9/2021,25,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
45,20,136,210,295,75,2,26,2,10,15,819,591,116,85,12/24/2020,228,340061,UNC Medical Center,MCRHC
0,4,4,4,4,12,0,0,1,0,0,49,20,0,0,12/17/2020,29,340188,Cape Fear Valley Hoke Hospital,MCRHC
277,12,119,66,130,74,1,25,0,6,3,865,780,107,64,12/13/2020,85,340030,Duke University Hospital,DHPC
20,4,16,7,14,36,0,8,0,0,0,138,130,12,7,12/7/2020,8,340126,Wilson Medical Center,EHPC
20,5,23,51,56,62,0,10,0,6,0,309,246,18,5,1/6/2021,63,340131,CarolinaEast Medical Center,EHPC
14,0,8,16,18,13,0,7,0,3,0,52,45,8,2,12/24/2020,7,340186,Vidant Beaufort Hospital,EHPC
29,0,8,11,15,38,0,5,0,4,0,81,73,8,4,1/18/2021,8,340097,Hugh Chatham Memorial Hospital,THPC
11,5,13,24,25,6,0,0,2,1,0,155,83,8,1,11/10/2020,72,340085,Novant Health - Thomasville MC,THPC
10,0,18,26,42,23,1,5,31,4,7,203,136,18,16,11/16/2020,67,340021,Atrium Health - Cleveland,MHPC
38,2,20,10,10,48,1,2,1,4,0,167,137,18,0,1/18/2021,30,340091,Cone Health Wesley Long Hospital,THPC
29,1,5,24,26,11,0,2,1,2,0,114,79,4,2,12/15/2020,35,340158,Novant Health - Brunswick MC,SHPR
10,0,10,4,9,0,0,7,0,0,0,88,82,10,5,12/6/2020,6,340099,Vidant Roanoke Chowan Hospital,EHPC
12,0,10,9,13,23,0,7,0,4,0,96,86,10,4,12/6/2020,10,340051,Watauga Medical Center,THPC
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11/11/2020,0,341316,Highlands Cashiers Hospital,MAHPC
44,6,14,7,9,31,0,3,0,4,0,163,105,8,2,1/14/2021,58,340151,Vidant - North,EHPC
56,2,8,10,10,10,1,5,1,2,1,67,24,6,0,11/14/2020,43,340024,Sampson Regional Medical Center,MCRHC
11,0,0,2,2,1,0,0,0,0,0,12,2,0,0,12/2/2020,10,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
30,1,112,146,230,188,2,44,9,13,0,1022,817,111,84,1/17/2021,205,340014,Novant Health - Forsyth MC,THPC
54,1,8,5,5,11,1,5,0,2,0,107,106,7,0,12/31/2020,1,340060,UNC Rockingham Hospital,THPC
12,0,4,4,4,8,0,2,0,1,0,29,25,4,0,12/18/2020,4,341318,Vidant Chowan Hospital,EHPC
0,0,8,7,8,12,0,3,1,3,0,115,51,8,1,12/1/2020,64,340064,WFBMC - Wilkes Regional MC,THPC
4,0,6,4,12,23,1,3,1,1,1,75,53,6,8,1/30/2021,22,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
0,4,14,16,26,22,1,0,4,4,2,261,112,10,10,11/28/2020,149,340027,UNC Lenoir Hospital,EHPC
29,5,8,15,15,17,0,0,0,2,0,81,47,3,0,12/25/2020,34,340097,Hugh Chatham Memorial Hospital,THPC
18,-2,30,39,54,85,1,19,20,7,2,281,256,32,15,1/10/2021,25,340098,Atrium Health - Pineville,MHPC
0,4,22,48,51,11,1,2,1,1,0,269,184,18,3,11/4/2020,85,340015,Novant Health - Rowan Medical Center,THPC
0,0,0,1,1,0,0,0,0,0,0,8,1,0,0,12/25/2020,7,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
58,-1,19,10,15,25,0,24,0,8,0,86,72,20,5,12/12/2020,14,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1/25/2021,0,341316,Highlands Cashiers Hospital,MAHPC
66,2,12,9,10,21,0,2,1,2,0,53,44,10,1,1/8/2021,9,340091,Cone Health Annie Penn Hospital,THPC
7,0,0,4,4,0,0,0,0,0,0,25,13,0,0,12/12/2020,12,341327,Dosher Memorial Hospital,SHPR
18,3,30,36,54,91,1,17,13,6,6,281,249,27,18,1/14/2021,32,340098,Atrium Health - Pineville,MHPC
10,3,10,8,12,1,0,1,0,1,0,89,71,7,4,11/4/2020,18,340142,Carteret General Hospital,EHPC
72,0,8,6,6,11,0,2,0,2,0,53,51,8,0,1/5/2021,2,340020,Central Carolina Hospital,CapRAC
20,6,6,4,4,0,0,0,2,0,1,18,4,0,0,11/28/2020,14,340159,Person Memorial Hospital,DHPC
59,1,10,34,41,11,1,2,2,0,1,246,157,9,7,11/16/2020,89,340171,Novant Health - Matthews,MHPC
11,4,13,22,25,9,0,6,0,1,0,150,74,9,3,12/12/2020,76,340085,Novant Health - Thomasville MC,THPC
0,5,9,3,3,1,0,0,1,1,2,37,10,4,0,11/10/2020,27,341326,Angel Medical Center,MAHPC
13,0,0,0,0,0,0,0,0,0,0,18,4,0,0,12/8/2020,14,340156,Cherokee Indian Hospital,MAHPC
45,0,74,31,57,64,1,13,38,3,3,534,534,74,26,12/20/2020,0,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
13,10,20,26,34,32,1,8,17,2,6,216,162,10,8,1/5/2021,54,340113,Atrium Health - Main,MHPC
65,1,12,14,17,9,0,1,2,0,1,170,155,11,3,11/3/2020,15,340173,Wake Medical Center Cary,CapRAC
48,1,19,33,36,25,0,4,0,2,4,294,228,18,3,11/19/2020,66,340155,Duke Regional Hospital,DHPC
14,0,8,14,18,19,0,5,0,5,0,52,52,8,4,12/31/2020,0,340186,Vidant Beaufort Hospital,EHPC
149,14,74,26,57,79,2,11,15,10,0,551,430,60,31,1/13/2021,121,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
14,0,0,6,6,2,0,0,1,1,0,17,9,0,0,1/27/2021,8,341324,The Outer Banks Hospital,EHPC
49,0,8,15,22,27,0,5,5,3,1,264,157,8,7,1/31/2021,107,340183,Novant Health - Huntersville,MHPC
25,6,24,16,24,22,1,9,0,5,0,204,187,18,8,11/18/2020,17,340116,Frye Regional MC,THPC
12,0,0,2,2,0,0,0,0,0,0,6,6,0,0,12/31/2020,0,341304,Vidant Bertie Hospital,EHPC
0,2,8,7,8,7,0,1,3,1,0,114,52,6,1,11/8/2020,62,340064,WFBMC - Wilkes Regional MC,THPC
0,0,0,2,2,4,0,0,1,1,3,32,9,0,0,1/25/2021,23,341329,Blue Ridge Regional Hospital,MAHPC
54,1,8,3,5,13,0,4,2,0,2,107,106,7,2,12/13/2020,1,340060,UNC Rockingham Hospital,THPC
23,2,8,9,9,8,0,2,0,8,0,60,52,6,0,11/20/2020,8,340107,Vidant Edgecombe Hospital,EHPC
56,0,8,9,10,10,1,4,0,1,0,67,28,8,1,11/17/2020,39,340024,Sampson Regional Medical Center,MCRHC
35,1,16,13,26,40,0,10,2,9,2,200,134,15,13,12/3/2020,66,340143,Catawba Valley Medical Center,THPC
41,16,22,33,37,25,0,4,1,6,9,153,76,6,4,1/13/2021,77,340017,Pardee Hospital,MAHPC
0,5,6,4,4,3,0,0,0,0,0,31,12,1,0,12/6/2020,19,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
49,0,8,15,22,42,0,4,2,9,0,264,140,8,7,1/3/2021,124,340183,Novant Health - Huntersville,MHPC
0,0,0,2,2,6,0,0,0,1,2,32,3,0,0,12/24/2020,29,341329,Blue Ridge Regional Hospital,MAHPC
0,4,6,2,2,3,0,1,0,2,0,19,14,2,0,12/28/2020,5,341322,St. Lukes Hospital,MAHPC
69,16,64,50,66,93,1,22,30,6,8,503,340,48,16,12/26/2020,163,340001,Atrium Health - Cabarrus,MHPC
21,0,12,19,26,38,1,11,1,5,10,96,72,12,7,1/1/2021,24,340041,UNC- Caldwell Memorial Hospital,THPC
,,,,,,,,,,,,,,,12/7/2020,,102,Womack Army Medical Center,MCRHC
18,1,8,29,36,34,0,6,12,3,2,134,94,7,7,1/26/2021,40,340166,Atrium Health - University,MHPC
44,0,6,3,7,2,0,5,0,0,0,88,67,6,4,1/5/2021,21,340023,Park Ridge Health (Advent Health),MAHPC
8,1,8,3,5,7,0,2,7,1,4,30,29,7,2,12/13/2020,1,340071,Harnett Health - Central Harnett Hospital,CapRAC
0,0,0,0,0,0,0,0,0,0,0,46,25,0,0,1/11/2021,21,340187,WFBMC- Davie MC,THPC
65,0,12,10,17,28,0,11,3,1,5,178,157,12,7,1/1/2021,21,340173,Wake Medical Center Cary,CapRAC
64,0,15,21,25,9,0,2,1,0,0,180,153,15,4,11/6/2020,27,340073,Duke Raleigh Hospital,DHPC
54,6,16,24,40,29,0,7,8,4,6,104,65,10,16,1/3/2021,39,340109,Sentara Albemarle Medical Center,EHPC
0,4,4,4,4,8,0,0,2,2,2,49,18,0,0,11/30/2020,31,340188,Cape Fear Valley Hoke Hospital,MCRHC
12,0,0,2,2,0,0,0,0,0,0,6,3,0,0,12/5/2020,3,341304,Vidant Bertie Hospital,EHPC
0,0,10,4,7,23,0,4,0,1,0,78,61,10,3,12/13/2020,17,340003,Northern Regional Hospital,THPC
35,0,16,14,26,38,0,10,4,7,2,200,145,16,12,11/18/2020,55,340143,Catawba Valley Medical Center,THPC
16,0,14,9,13,28,0,7,0,6,0,113,107,14,4,12/31/2020,6,340008,Scotland Health Care System,MHPC
5,1,3,10,11,0,0,0,0,0,1,55,38,2,1,11/9/2020,17,340123,Randolph Hospital,THPC
0,6,10,4,9,5,0,3,6,1,6,125,40,4,5,1/28/2021,85,340013,Rutherford Regional Hospital,MAHPC
4,1,8,6,6,17,0,3,0,2,0,53,41,7,0,1/29/2021,12,340115,FirstHealth Richmond Memorial Hospital,MCRHC
0,4,6,2,2,0,0,0,0,0,1,19,11,2,0,11/1/2020,8,341322,St. Lukes Hospital,MAHPC
,,,,,,,,,,,,,,,11/27/2020,,100,Durham VA,DHPC
0,0,8,0,8,13,0,6,0,4,0,116,59,8,8,1/24/2021,57,340064,WFBMC - Wilkes Regional MC,THPC
0,0,0,1,1,0,0,0,0,0,0,14,10,0,0,12/23/2020,4,341317,LifeBright Community Hospital of Stokes,THPC
25,0,8,12,14,6,1,3,1,1,1,88,59,8,2,1/26/2021,29,340144,Davis Regional MC,THPC
143,3,65,25,57,111,0,15,13,15,27,654,463,62,32,1/1/2021,191,340028,Cape Fear Valley Medical Center,MCRHC
23,2,27,11,22,13,1,4,0,3,0,282,185,25,11,11/13/2020,97,340004,WFBMC- High Point MC,THPC
0,0,0,1,1,0,0,0,0,0,0,8,7,0,0,1/26/2021,1,341323,Cannon Hospital,MAHPC
24,0,8,29,31,3,0,0,15,2,9,126,108,8,2,11/5/2020,18,340166,Atrium Health - University,MHPC
429,33,62,88,120,24,0,2,6,1,17,764,560,29,32,11/8/2020,204,340141,New Hanover Regional MC,SHPR
53,8,17,30,43,56,1,3,4,6,9,316,144,9,13,1/11/2021,172,340010,Wayne UNC Health Care,EHPC
0,5,10,7,7,10,0,3,2,1,0,78,48,5,0,11/16/2020,30,340003,Northern Regional Hospital,THPC
54,1,8,4,5,19,0,3,1,4,0,107,105,7,1,1/29/2021,2,340060,UNC Rockingham Hospital,THPC
6,0,0,10,10,0,0,0,8,0,2,59,37,0,0,11/8/2020,22,340037,Atrium Health - Kings Mountain,MHPC
0,0,0,1,1,0,0,0,0,0,0,8,5,0,0,11/7/2020,3,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
0,4,4,4,4,5,0,0,1,0,1,49,16,0,0,12/1/2020,33,340188,Cape Fear Valley Hoke Hospital,MCRHC
25,2,24,14,24,35,1,7,0,3,0,204,186,22,10,12/14/2020,18,340116,Frye Regional MC,THPC
18,2,14,31,45,48,2,14,20,8,8,176,129,12,14,1/30/2021,47,340130,Atrium Health - Union,MHPC
12,0,6,6,12,18,0,4,5,1,4,72,53,6,6,12/25/2020,19,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
,,,,,,,,,,,,,,,1/27/2021,,102,Womack Army Medical Center,MCRHC
54,2,8,5,5,0,0,2,0,0,0,107,105,6,0,11/23/2020,2,340060,UNC Rockingham Hospital,THPC
0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,12/14/2020,3,341323,Cannon Hospital,MAHPC
0,4,25,18,27,20,0,2,0,0,1,295,182,21,9,11/24/2020,113,340050,Southeastern Regional Medical Center,DHPC
48,13,125,121,213,154,2,51,53,8,15,900,787,112,92,1/2/2021,113,340113,Atrium Health - Main,MHPC
1,0,0,2,2,0,0,0,0,0,0,12,3,0,0,11/20/2020,9,341305,Swain Hospital,MAHPC
49,0,8,14,22,43,0,6,3,6,0,264,141,8,8,1/24/2021,123,340183,Novant Health - Huntersville,MHPC
22,19,59,29,34,19,0,5,1,3,9,177,117,40,5,11/2/2020,60,340090,Johnston UNC Health Care,CapRAC
0,0,4,2,3,3,0,0,0,0,1,27,24,4,1,1/16/2021,3,341315,Cape Fear Valley Bladen Hospital,SHPR
18,5,30,38,55,49,2,15,12,7,6,281,245,25,17,1/29/2021,36,340098,Atrium Health - Pineville,MHPC
12,3,10,7,12,2,0,6,0,2,0,96,80,7,5,11/7/2020,16,340051,Watauga Medical Center,THPC
0,0,0,15,15,0,0,0,0,0,0,38,19,0,0,12/5/2020,19,340148,Novant Health - Medical Park Hospital,THPC
0,1,9,3,3,3,0,0,2,0,3,37,19,8,0,12/17/2020,18,341326,Angel Medical Center,MAHPC
60,31,120,96,181,86,0,15,0,7,0,888,796,89,85,12/29/2020,92,340040,Vidant Medical Center,EHPC
10,3,7,18,18,3,0,0,0,1,0,77,31,4,0,11/3/2020,46,340190,Novant Health - Mint Hill,THPC
57,6,12,10,10,4,0,0,2,0,0,53,21,6,0,11/29/2020,32,340091,Cone Health Annie Penn Hospital,THPC
12,3,12,7,10,26,0,6,2,4,1,97,52,9,3,12/26/2020,45,340129,Lake Norman Regional Medical Center,MHPC
44,2,6,6,7,0,0,0,0,0,0,88,62,4,1,11/17/2020,26,340023,Park Ridge Health (Advent Health),MAHPC
0,2,6,2,2,1,0,0,0,0,0,19,11,4,0,12/21/2020,8,341322,St. Lukes Hospital,MAHPC
60,21,120,90,181,53,0,13,0,5,0,888,743,99,91,11/28/2020,145,340040,Vidant Medical Center,EHPC
5,1,9,10,12,0,0,8,0,0,0,95,57,8,2,12/21/2020,38,340016,Harris Hosptial,MAHPC
9,37,181,115,134,17,0,5,3,5,11,456,344,144,19,11/9/2020,112,340114,UNC Rex Hospital,MCRHC
48,13,125,123,210,157,2,47,53,13,19,900,790,112,87,1/8/2021,110,340113,Atrium Health - Main,MHPC
,,,,,,,,,,,,,,,1/27/2021,,100,Durham VA,DHPC
9,0,0,2,3,0,0,0,0,0,0,16,12,0,1,1/18/2021,4,341314,Washington Regional Medical Center,EHPC
20,5,16,9,14,28,0,6,0,0,0,138,130,11,5,12/6/2020,8,340126,Wilson Medical Center,EHPC
12,0,4,3,4,5,0,3,0,0,0,29,26,4,1,12/31/2020,3,341318,Vidant Chowan Hospital,EHPC
0,2,22,40,51,57,2,9,3,4,0,269,174,20,11,1/16/2021,95,340015,Novant Health - Rowan Medical Center,THPC
10,1,10,14,16,17,0,5,9,3,1,84,46,9,2,12/29/2020,38,340119,Atrium Health - Stanly,MHPC
0,0,0,0,0,0,0,0,0,0,0,46,10,0,0,12/26/2020,36,340187,WFBMC- Davie MC,THPC
18,1,6,5,7,4,0,2,1,4,1,18,10,5,2,11/7/2020,8,340133,Martin General Hospital,EHPC
64,0,15,19,25,28,0,1,0,5,0,185,159,15,6,12/30/2020,26,340073,Duke Raleigh Hospital,DHPC
69,3,12,9,10,19,0,3,1,2,0,53,41,9,1,1/10/2021,12,340091,Cone Health Annie Penn Hospital,THPC
10,0,6,8,8,7,0,3,0,2,0,53,43,6,0,1/15/2021,10,340127,Granville Health System,DHPC
59,1,10,35,41,21,0,0,5,3,1,246,164,9,6,12/6/2020,82,340171,Novant Health - Matthews,MHPC
0,3,8,0,8,6,0,1,0,2,0,114,49,5,8,11/22/2020,65,340064,WFBMC - Wilkes Regional MC,THPC
0,14,38,20,27,33,0,7,2,5,0,331,284,24,7,11/17/2020,47,340115,FirstHealth Moore Regional Hospital,MCRHC
16,3,8,11,13,23,2,2,0,4,0,104,80,5,2,11/22/2020,24,340008,Scotland Health Care System,MHPC
27,0,0,13,13,3,0,0,0,0,0,42,38,0,0,12/3/2020,4,340014,Novant Health - Forsyth MC,THPC
65,1,12,14,17,20,1,4,3,0,6,170,154,11,3,12/12/2020,16,340173,Wake Medical Center Cary,CapRAC
29,0,5,25,26,18,0,2,1,5,0,114,79,5,1,12/2/2020,35,340158,Novant Health - Brunswick MC,SHPR
48,3,22,26,36,40,0,8,0,5,4,283,233,19,10,1/9/2021,50,340155,Duke Regional Hospital,DHPC
44,4,6,6,7,0,0,1,0,0,0,88,40,2,1,11/9/2020,48,340023,Park Ridge Health (Advent Health),MAHPC
0,0,0,1,1,0,0,0,0,0,0,8,6,0,0,12/31/2020,2,341323,Cannon Hospital,MAHPC
21,4,20,8,10,8,0,1,14,4,4,154,123,16,2,11/17/2020,31,340091,Cone Health Wesley Long Hospital,THPC
49,0,0,5,5,2,0,0,0,2,0,27,15,0,0,12/10/2020,12,341325,Ashe Memorial Hospital,THPC
25,7,24,13,24,41,1,7,0,4,0,204,195,17,11,12/18/2020,9,340116,Frye Regional MC,THPC
13,0,0,0,0,0,0,0,0,0,0,18,5,0,0,12/19/2020,13,340156,Cherokee Indian Hospital,MAHPC
18,0,14,32,38,24,0,4,28,3,9,176,100,14,6,11/21/2020,76,340130,Atrium Health - Union,MHPC
26,0,6,15,16,23,0,4,0,4,0,62,60,6,1,12/31/2020,2,340068,Columbus Regional Healthcare System,SHPR
0,5,18,7,9,5,0,2,0,0,0,113,51,13,2,11/19/2020,62,340096,WFBMC - Lexington MC,THPC
20,3,16,12,17,37,0,8,0,0,0,138,135,13,5,12/30/2020,3,340126,Wilson Medical Center,EHPC
429,34,62,89,120,25,0,6,2,4,25,764,574,28,31,11/6/2020,190,340141,New Hanover Regional MC,SHPR
27,0,0,13,13,3,0,0,0,1,0,42,33,0,0,11/25/2020,9,340014,Novant Health - Forsyth MC,THPC
31,0,4,18,24,25,0,3,2,0,0,97,89,4,6,1/19/2021,8,340014,Novant Health - Forsyth MC,THPC
0,1,8,18,35,0,0,0,0,0,0,93,56,7,17,1/18/2021,37,342014,Highsmith-Rainey Specialty Hospital,MCRHC
25,1,8,13,14,4,0,4,0,2,0,88,59,7,1,12/4/2020,29,340144,Davis Regional MC,THPC
18,4,18,27,36,40,1,7,17,5,3,180,124,14,9,12/15/2020,56,340130,Atrium Health - Union,MHPC
57,0,12,9,10,7,0,0,3,1,0,53,53,12,1,12/18/2020,0,340091,Cone Health Annie Penn Hospital,THPC
10,1,6,8,7,8,0,3,0,0,0,53,39,5,-1,12/25/2020,14,340127,Granville Health System,DHPC
17,11,72,36,57,22,0,3,32,5,3,611,442,61,21,11/14/2020,169,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
85,0,11,10,17,59,0,11,8,10,0,58,58,11,7,11/3/2020,0,340091,Women's Hospital,THPC
21,12,59,20,34,51,3,15,1,5,14,176,121,47,14,1/10/2021,55,340090,Johnston UNC Health Care,CapRAC
11,3,13,22,25,24,1,4,2,5,1,150,85,10,3,12/31/2020,65,340085,Novant Health - Thomasville MC,THPC
22,8,58,24,34,50,0,14,1,7,15,176,132,50,10,12/21/2020,44,340090,Johnston UNC Health Care,CapRAC
12,2,10,7,12,0,0,6,0,0,0,96,90,8,5,11/13/2020,6,340051,Watauga Medical Center,THPC
0,4,4,4,4,11,0,0,4,0,3,49,22,0,0,12/11/2020,27,340188,Cape Fear Valley Hoke Hospital,MCRHC
10,2,6,6,8,0,0,0,1,0,0,43,22,4,2,1/10/2021,21,340127,Granville Health System,DHPC
8,0,8,4,5,12,0,5,3,0,2,32,28,8,1,1/21/2021,4,340071,Harnett Health - Central Harnett Hospital,CapRAC
-13,6,20,18,22,23,0,3,9,3,0,195,117,14,4,11/30/2020,78,340070,Alamance Regional Medical Center,MCRHC
14,0,10,17,18,27,0,6,1,2,1,54,54,10,1,1/13/2021,0,340186,Vidant Beaufort Hospital,EHPC
59,0,10,35,41,15,0,0,3,1,1,246,173,10,6,11/19/2020,73,340171,Novant Health - Matthews,MHPC
2,30,181,113,134,87,1,39,7,5,14,492,381,151,21,1/17/2021,111,340114,UNC Rex Hospital,MCRHC
0,0,0,5,5,2,0,0,2,1,0,23,5,0,0,1/8/2021,18,340084,Atrium Health - Anson,MHPC
44,13,121,141,215,87,2,23,77,8,18,871,774,108,74,12/1/2020,97,340113,Atrium Health - Main,MHPC
10,1,7,17,18,6,0,2,1,1,0,77,40,6,1,12/12/2020,37,340190,Novant Health - Mint Hill,THPC
0,12,38,17,27,79,2,13,2,7,0,331,236,26,10,12/25/2020,95,340115,FirstHealth Moore Regional Hospital,MCRHC
72,4,12,10,10,12,0,2,0,1,0,53,38,8,0,1/31/2021,15,340091,Cone Health Annie Penn Hospital,THPC
0,0,1,4,4,3,0,0,2,4,3,25,19,1,0,12/15/2020,6,340087,McDowell Hospital,MAHPC
36,0,10,22,22,33,0,7,3,3,1,113,72,10,0,1/8/2021,41,340145,Atrium Health - Lincoln,MHPC
0,0,0,1,1,0,0,0,0,0,0,8,3,0,0,12/19/2020,5,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
0,13,38,22,27,24,1,2,3,5,0,331,318,25,5,11/10/2020,13,340115,FirstHealth Moore Regional Hospital,MCRHC
60,27,120,82,181,59,0,9,0,10,0,888,793,93,99,11/16/2020,95,340040,Vidant Medical Center,EHPC
30,2,8,9,12,9,0,2,0,2,0,77,42,6,3,12/5/2020,35,340132,Maria Parham Medical Center,DHPC
0,1,8,23,35,0,0,0,0,0,0,93,58,7,12,11/15/2020,35,342014,Highsmith-Rainey Specialty Hospital,MCRHC
30,2,8,10,12,9,0,3,0,1,0,77,56,6,2,1/29/2021,21,340132,Maria Parham Medical Center,DHPC
8,2,8,4,5,0,0,1,3,1,3,32,23,6,1,11/4/2020,9,340071,Harnett Health - Central Harnett Hospital,CapRAC
29,1,6,17,17,7,0,0,3,4,0,62,51,5,0,11/18/2020,11,340068,Columbus Regional Healthcare System,SHPR
51,0,16,15,21,35,0,7,0,4,1,154,144,16,6,1/26/2021,10,340039,Iredell Health System,THPC
4,0,6,2,12,25,1,3,1,1,1,74,60,6,10,1/26/2021,14,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
5,0,0,0,1,0,0,0,2,0,0,12,10,0,1,11/29/2020,2,341314,Washington Regional Medical Center,EHPC
7,0,0,4,4,0,0,0,0,0,0,25,13,0,0,12/23/2020,12,341327,Dosher Memorial Hospital,SHPR
29,5,5,26,26,2,0,0,2,0,0,114,61,0,0,11/14/2020,53,340158,Novant Health - Brunswick MC,SHPR
0,3,14,29,41,22,0,0,0,7,0,261,119,11,12,12/20/2020,142,340027,UNC Lenoir Hospital,EHPC
0,0,0,15,15,0,0,0,0,0,0,38,15,0,0,12/20/2020,23,340148,Novant Health - Medical Park Hospital,THPC
5,1,5,9,11,2,0,0,2,0,2,56,42,4,2,12/21/2020,14,340123,Randolph Hospital,THPC
12,0,4,4,4,3,0,2,0,0,0,29,20,4,0,11/13/2020,9,341318,Vidant Chowan Hospital,EHPC
16,5,10,11,12,6,1,2,0,1,0,110,85,5,1,11/18/2020,25,340184,Haywood Hospital,MAHPC
12,0,0,2,2,0,0,0,0,0,0,6,5,0,0,11/25/2020,1,341304,Vidant Bertie Hospital,EHPC
0,0,0,1,1,0,0,0,0,0,0,8,7,0,0,12/6/2020,1,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
54,2,8,4,5,1,0,1,2,1,2,107,105,6,1,11/26/2020,2,340060,UNC Rockingham Hospital,THPC
13,11,20,27,34,11,0,4,18,1,2,219,153,9,7,12/13/2020,66,340113,Atrium Health - Main,MHPC
